TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:01:450,-0.107,0.352,0.934,-17.334,16.601,-31.25,
00:00:01:466,-0.109,0.354,0.942,-5.005,15.625,-32.349,
00:00:01:483,-0.107,0.346,0.943,-7.691,16.723,-30.396,
00:00:01:500,-0.105,0.35,0.939,-12.818,16.601,-31.067,
00:00:01:516,-0.103,0.355,0.946,-17.029,12.329,-31.128,
00:00:01:533,-0.107,0.354,0.935,-18.616,11.84,-27.466,
00:00:01:550,-0.109,0.356,0.942,-13.855,14.648,-25.513,
00:00:01:566,-0.108,0.362,0.944,-10.865,20.935,-27.955,
00:00:01:583,-0.105,0.353,0.937,-11.109,20.507,-30.03,
00:00:01:600,-0.106,0.349,0.942,-13.123,17.944,-25.696,
00:00:01:616,-0.108,0.344,0.934,-22.339,17.578,-24.109,
00:00:01:633,-0.109,0.346,0.928,-22.217,19.104,-24.842,
00:00:01:650,-0.11,0.35,0.933,-9.034,20.202,-26.551,
00:00:01:666,-0.108,0.353,0.931,-6.531,21.057,-29.541,
00:00:01:683,-0.105,0.356,0.937,-2.747,18.432,-32.776,
00:00:01:700,-0.107,0.359,0.941,-11.78,21.301,-27.039,
00:00:01:716,-0.106,0.361,0.909,-18.311,21.301,-27.466,
00:00:01:733,-0.099,0.358,0.936,-20.081,16.723,-24.781,
00:00:01:750,-0.102,0.348,0.934,-14.649,10.07,-24.414,
00:00:01:766,-0.107,0.343,0.937,-15.87,10.803,-25.269,
00:00:01:783,-0.107,0.343,0.931,-15.015,15.014,-30.335,
00:00:01:800,-0.105,0.347,0.933,-14.954,14.404,-31.739,
00:00:01:816,-0.104,0.351,0.939,-0.611,10.376,-28.138,
00:00:01:833,-0.11,0.359,0.938,-18.982,12.634,-30.762,
00:00:01:850,-0.105,0.363,0.945,-16.724,17.7,-32.837,
00:00:01:866,-0.099,0.357,0.951,-11.048,21.301,-24.414,
00:00:01:883,-0.101,0.346,0.938,-11.231,17.15,-23.56,
00:00:01:900,-0.108,0.331,0.926,-13.977,14.16,-28.931,
00:00:01:916,-0.108,0.338,0.927,-21.546,20.446,-32.227,
00:00:01:933,-0.1,0.358,0.935,-23.926,28.564,-34.79,
00:00:01:950,-0.093,0.404,0.944,-8.606,26.245,-30.945,
00:00:01:966,-0.096,0.366,0.948,3.051,19.897,-29.114,
00:00:01:983,-0.102,0.344,0.944,2.868,13.122,-28.382,
00:00:02:0,-0.108,0.33,0.934,-20.874,12.146,-27.649,
00:00:02:16,-0.106,0.34,0.931,-34.241,18.798,-26.49,
00:00:02:33,-0.102,0.355,0.926,-29.419,23.193,-30.701,
00:00:02:50,-0.103,0.364,0.926,-9.888,20.141,-34.729,
00:00:02:66,-0.112,0.369,0.939,2.075,18.798,-38.208,
00:00:02:83,-0.107,0.369,0.962,8.483,41.198,-46.692,
00:00:02:100,-0.095,0.364,0.966,4.76,52.673,-48.951,
00:00:02:116,-0.086,0.351,0.953,-3.174,45.776,-40.955,
00:00:02:133,-0.084,0.327,0.929,-18.372,30.7,-30.579,
00:00:02:150,-0.089,0.314,0.912,-37.659,25.268,-26.551,
00:00:02:166,-0.09,0.328,0.919,-40.039,21.118,-26.062,
00:00:02:183,-0.084,0.354,0.925,-17.762,28.625,-31.617,
00:00:02:200,-0.082,0.363,0.946,20.568,18.615,-36.866,
00:00:02:216,-0.098,0.353,0.952,26.123,11.047,-39.063,
00:00:02:233,-0.101,0.351,0.91,-2.442,12.573,-40.284,
00:00:02:250,-0.093,0.354,0.931,-27.771,13.061,-37.842,
00:00:02:266,-0.092,0.358,0.931,-41.565,9.155,-32.227,
00:00:02:283,-0.089,0.363,0.935,-32.41,8.85,-31.128,
00:00:02:300,-0.087,0.363,0.959,-10.743,13.794,-36.683,
00:00:02:316,-0.084,0.353,0.961,-7.874,16.601,-38.636,
00:00:02:333,-0.082,0.342,0.943,-16.663,8.789,-35.096,
00:00:02:350,-0.086,0.329,0.939,-23.743,5.065,-30.152,
00:00:02:366,-0.088,0.326,0.925,-35.157,0.793,-25.818,
00:00:02:383,-0.095,0.331,0.913,-26.612,8.178,-28.687,
00:00:02:400,-0.098,0.325,0.907,-9.034,12.207,-33.875,
00:00:02:416,-0.106,0.332,0.915,-5.005,16.174,-37.049,
00:00:02:433,-0.102,0.351,0.877,1.342,29.235,-36.866,
00:00:02:450,-0.093,0.353,0.881,23.376,23.925,-45.716,
00:00:02:466,-0.098,0.358,0.882,44.738,25.634,-70.313,
00:00:02:483,-0.094,0.417,0.881,43.64,53.283,-120.667,
00:00:02:500,-0.079,0.512,0.85,92.834,83.313,-138.672,
00:00:02:516,-0.069,0.498,0.832,254.76,55.236,-98.633,
00:00:02:533,-0.131,0.365,1.082,427.917,52.49,-5.738,
00:00:02:550,-0.164,0.269,1.446,481.872,135.864,70.617,
00:00:02:566,-0.079,0.141,1.672,381.897,238.464,84.045,
00:00:02:583,0.058,0.063,1.895,160.888,319.213,139.709,
00:00:02:600,0.205,0.049,2.148,-105.164,384.521,287.231,
00:00:02:616,0.354,0.051,2.654,-244.996,401.977,479.858,
00:00:02:633,0.457,-0.012,3.445,-199.524,296.081,623.23,
00:00:02:650,0.456,-0.236,3.999,-143.494,45.532,513.672,
00:00:02:666,0.509,-0.498,2.99,-925.293,-419.19,522.522,
00:00:02:683,0.725,0.665,1.586,-1972.657,-43.152,491.699,
00:00:02:700,1.507,2.471,-0.805,-2000,-142.456,976.623,
00:00:02:716,1.551,3.207,-1.142,-196.778,-2000,1792.236,
00:00:02:733,0.532,1.687,-1.592,1999.694,-2000,1600.525,
00:00:02:750,-0.04,0.245,-1.858,1999.694,-2000,994.873,
00:00:02:766,0.025,-0.185,-1.008,1999.694,-2000,230.407,
00:00:02:783,0.418,-1.389,-1.129,1999.694,-2000,130.249,
00:00:02:800,1.32,-1.397,-1.686,-1240.967,-2000,-86.243,
00:00:02:816,-0.297,1.15,-2.057,-2000,-2000,850.402,
00:00:02:833,0.395,0.71,-3.077,-662.842,-1003.785,590.759,
00:00:02:850,0.578,-0.531,-3.365,237.915,1507.69,75.988,
00:00:02:866,0.56,-0.777,-2.205,16.723,1999.694,-507.019,
00:00:02:883,0.424,-0.477,-0.631,-622.986,1999.694,-828.003,
00:00:02:900,-0.206,-0.144,0.588,-1707.642,1999.694,-1113.526,
00:00:02:916,-0.189,-0.27,0.594,-2000,1999.694,-1775.025,
00:00:02:933,0.161,-1.009,0.647,-2000,1999.694,-2000,
00:00:02:950,0.43,0.513,1.644,-2000,1999.694,-1826.783,
00:00:02:966,0.999,1.904,1.181,-1503.174,1999.694,-1298.829,
00:00:02:983,1.291,2.53,1.019,1544.983,1999.694,-1115.662,
00:00:03:0,1.135,1.551,1.078,1999.694,1551.33,-485.535,
00:00:03:16,0.807,0.705,2.263,1999.694,530.944,-339.905,
00:00:03:33,0.472,-0.291,2.323,1532.837,96.801,-216.675,
00:00:03:50,0.804,0.199,3.254,1220.764,-547.242,-461.914,
00:00:03:66,0.193,-0.229,1.949,209.411,-638.855,-2.503,
00:00:03:83,-0.228,-0.208,1.252,-809.449,-594.849,221.374,
00:00:03:100,-0.449,0.207,0.628,-1445.313,-317.627,165.466,
00:00:03:116,-0.387,0.41,0.456,-1007.813,112.304,-68.604,
00:00:03:133,-0.165,0.382,0.614,-19.043,533.752,-79.895,
00:00:03:150,0.195,0.055,0.831,748.23,429.138,-127.747,
00:00:03:166,0.358,-0.242,1.094,919.311,-89.966,-213.074,
00:00:03:183,0.076,-0.185,1.327,604.553,-285.767,-28.809,
00:00:03:200,-0.188,-0.027,1.36,83.129,-183.777,2.563,
00:00:03:216,-0.187,0.148,1.24,-363.953,90.332,-40.039,
00:00:03:233,-0.011,0.306,1.073,-610.169,265.319,-0.55,
00:00:03:250,0.125,0.417,0.922,-517.762,201.233,24.108,
00:00:03:266,0.131,0.403,0.895,-196.839,39.245,25.695,
00:00:03:283,0.042,0.26,0.921,109.558,-92.102,21.24,
00:00:03:300,-0.055,0.143,0.959,200.378,-101.807,-1.221,
00:00:03:316,-0.094,0.129,1.035,126.159,2.624,-17.579,
00:00:03:333,-0.041,0.162,1.063,29.296,84.35,-31.311,
00:00:03:350,0.018,0.176,1.06,-67.2,75.927,-33.631,
00:00:03:366,0.031,0.201,1.046,-164.856,37.902,2.319,
00:00:03:383,-0.003,0.224,1.045,-222.046,-0.061,33.02,
00:00:03:400,-0.041,0.277,1.086,-238.587,24.78,37.475,
00:00:03:416,-0.005,0.317,1.152,-172.547,68.359,21.789,
00:00:03:433,0.052,0.301,1.202,-134.034,60.607,6.958,
00:00:03:450,0.063,0.282,1.231,-189.393,-30.396,42.785,
00:00:03:466,0,0.31,1.25,-314.515,-131.592,87.646,
00:00:03:483,-0.111,0.383,1.212,-463.868,-232.178,138.549,
00:00:03:500,-0.184,0.371,1.103,-544.495,-278.809,213.623,
00:00:03:516,-0.243,0.395,1.003,-559.449,-347.962,286.682,
00:00:03:533,-0.291,0.42,0.956,-539.124,-405.396,374.878,
00:00:03:550,-0.324,0.452,0.981,-478.089,-447.449,483.398,
00:00:03:566,-0.348,0.681,0.965,-544.861,-509.949,718.078,
00:00:03:583,-0.365,0.716,0.914,-334.839,-567.139,734.497,
00:00:03:600,-0.379,0.506,0.882,-168.457,-589.112,805.236,
00:00:03:616,-0.476,0.356,0.82,-815.552,-310.059,1101.867,
00:00:03:633,-0.455,0.48,0.717,-935.242,-178.467,1120.361,
00:00:03:650,-0.397,0.501,0.661,-866.15,-40.467,1088.745,
00:00:03:666,-0.328,0.514,0.712,-762.33,33.996,1024.414,
00:00:03:683,-0.268,0.558,0.704,-499.512,85.388,882.873,
00:00:03:700,-0.231,0.514,0.685,-19.043,80.078,756.164,
00:00:03:716,-0.184,0.397,0.697,488.464,81.176,686.279,
00:00:03:733,-0.162,0.267,0.732,753.479,68.115,582.641,
00:00:03:750,-0.178,0.217,0.76,834.594,55.481,478.332,
00:00:03:766,-0.2,-0.018,0.937,747.375,-50.232,209.106,
00:00:03:783,-0.228,-0.024,0.961,639.343,-45.35,171.447,
00:00:03:800,-0.252,0.005,1.001,312.011,-34.363,203.003,
00:00:03:816,-0.353,0.104,0.984,-222.779,-12.452,126.22,
00:00:03:833,-0.414,0.193,0.942,-427.185,24.231,-23.743,
00:00:03:850,-0.388,0.261,0.843,-437.439,8.667,10.253,
00:00:03:866,-0.392,0.363,0.83,-292.237,23.925,-6.592,
00:00:03:883,-0.394,0.324,0.752,-98.816,19.592,-46.936,
00:00:03:900,-0.397,0.147,0.83,-5.86,10.253,-81.91,
00:00:03:916,-0.406,0.116,0.861,-142.884,20.019,-109.681,
00:00:03:933,-0.423,0.153,0.889,-253.418,37.414,-183.106,
00:00:03:950,-0.411,0.211,0.896,-261.78,60.791,-206.116,
00:00:03:966,-0.409,0.244,0.881,-367.249,58.471,-228.943,
00:00:03:983,-0.429,0.214,0.873,-510.193,49.255,-234.986,
00:00:04:0,-0.441,0.223,0.858,-665.711,21.789,-198.731,
00:00:04:16,-0.448,0.379,0.908,-848.328,-21.424,-189.759,
00:00:04:33,-0.486,0.48,0.838,-385.376,12.817,-229.615,
00:00:04:50,-0.457,0.47,0.806,-253.54,2.258,-188.294,
00:00:04:66,-0.466,0.501,0.753,-167.115,-9.4,-157.044,
00:00:04:83,-0.481,0.509,0.762,-103.638,-3.235,-157.593,
00:00:04:100,-0.476,0.481,0.822,-115.54,53.161,-197.632,
00:00:04:116,-0.455,0.464,0.847,-184.388,130.798,-265.564,
00:00:04:133,-0.415,0.414,0.767,-267.09,214.172,-301.636,
00:00:04:150,-0.369,0.433,0.672,-326.844,269.104,-258.301,
00:00:04:166,-0.27,0.672,0.649,-275.269,278.564,-144.715,
00:00:04:183,-0.258,0.674,0.674,-116.822,268.676,-114.808,
00:00:04:200,-0.23,0.704,0.712,-20.508,271.423,-98.023,
00:00:04:216,-0.201,0.761,0.748,51.94,286.01,-90.455,
00:00:04:233,-0.169,0.625,0.756,460.205,234.558,-22.583,
00:00:04:250,-0.178,0.556,0.817,463.684,217.407,-10.498,
00:00:04:266,-0.174,0.499,0.852,375.183,216.674,-12.269,
00:00:04:283,-0.174,0.459,0.818,257.995,212.158,-25.513,
00:00:04:300,-0.152,0.465,0.868,54.26,150.146,-16.114,
00:00:04:316,-0.163,0.419,0.857,-153.687,89.355,-15.015,
00:00:04:333,-0.196,0.515,0.855,-154.725,57.556,-3.113,
00:00:04:350,-0.203,0.569,0.838,-41.016,59.875,-24.903,
00:00:04:366,-0.187,0.522,0.838,76.782,43.273,-57.19,
00:00:04:383,-0.204,0.463,0.829,87.341,29.235,-39.368,
00:00:04:400,-0.235,0.484,0.818,52.612,33.874,-22.889,
00:00:04:416,-0.241,0.509,0.813,23.254,61.401,-37.659,
00:00:04:433,-0.229,0.504,0.825,-2.686,80.139,-43.885,
00:00:04:450,-0.233,0.494,0.862,-6.775,95.031,-26.551,
00:00:04:466,-0.233,0.513,0.847,-7.019,101.44,8.911,
00:00:04:483,-0.238,0.555,0.824,17.822,94.421,29.296,
00:00:04:500,-0.251,0.556,0.815,59.631,71.716,20.385,
00:00:04:516,-0.264,0.499,0.811,110.107,61.096,6.958,
00:00:04:533,-0.262,0.46,0.829,97.045,62.927,20.69,
00:00:04:550,-0.254,0.436,0.866,26.123,72.876,21.24,
00:00:04:566,-0.254,0.426,0.885,-39.307,89.843,44.86,
00:00:04:583,-0.275,0.488,0.832,-144.227,101.623,92.59,
00:00:04:600,-0.282,0.511,0.798,-179.627,104.736,72.387,
00:00:04:616,-0.289,0.503,0.78,-142.701,116.333,55.908,
00:00:04:633,-0.298,0.465,0.794,-105.408,109.069,78.613,
00:00:04:650,-0.304,0.429,0.817,-132.142,102.172,96.313,
00:00:04:666,-0.309,0.444,0.828,-219.91,118.408,94.238,
00:00:04:683,-0.302,0.494,0.837,-254.7,137.146,96.252,
00:00:04:700,-0.289,0.543,0.847,-236.39,139.465,101.135,
00:00:04:716,-0.282,0.543,0.85,-205.018,130.676,99.792,
