TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.96,-0.109,0.011,-18.86,10.742,-28.077,
00:00:00:16,0.961,-0.111,0.011,-10.987,13.916,-32.288,
00:00:00:33,0.958,-0.118,0.006,-11.536,14.465,-28.138,
00:00:00:50,0.963,-0.12,0.009,-15.137,17.517,-24.659,
00:00:00:66,0.962,-0.122,0.007,-14.1,15.808,-23.743,
00:00:00:83,0.963,-0.125,0.007,-17.395,12.39,-22.583,
00:00:00:100,0.965,-0.129,0.004,-18.677,13.244,-23.987,
00:00:00:116,0.968,-0.127,0.001,-21.79,14.038,-26.185,
00:00:00:133,0.964,-0.127,0.005,-25.147,10.742,-28.443,
00:00:00:150,0.96,-0.127,0,-29.602,10.131,-33.387,
00:00:00:166,0.961,-0.123,0.005,-35.767,6.408,-31.25,
00:00:00:183,0.961,-0.118,0.006,-37.476,9.887,-30.213,
00:00:00:200,0.961,-0.115,0.008,-37.598,10.925,-27.71,
00:00:00:216,0.964,-0.113,0.007,-36.255,15.075,-26.368,
00:00:00:233,0.96,-0.11,0.007,-34.546,13.305,-27.955,
00:00:00:250,0.963,-0.107,0.006,-28.565,8.972,-27.039,
00:00:00:266,0.963,-0.111,0.005,-23.499,9.521,-26.917,
00:00:00:283,0.965,-0.112,0.005,-20.386,9.887,-28.748,
00:00:00:300,0.967,-0.111,0.001,-15.198,11.413,-30.701,
00:00:00:316,0.968,-0.111,0,-14.466,9.46,-29.175,
00:00:00:333,0.967,-0.113,0.01,-12.452,9.399,-32.776,
00:00:00:350,0.964,-0.119,0.003,-4.822,14.648,-34.241,
00:00:00:366,0.964,-0.119,0.008,-9.278,14.709,-31.678,
00:00:00:383,0.965,-0.12,0.009,-21.302,9.887,-32.471,
00:00:00:400,0.969,-0.115,0.004,-25.94,12.573,-46.875,
00:00:00:416,0.967,-0.106,0.01,-25.086,9.948,-30.335,
00:00:00:433,0.963,-0.102,0.012,-13.672,10.742,-32.166,
00:00:00:450,0.965,-0.107,0.01,-0.611,13.122,-30.457,
00:00:00:466,0.965,-0.113,0.011,8.606,10.803,-28.687,
00:00:00:483,0.964,-0.121,0.003,7.934,8.544,-29.786,
00:00:00:500,0.961,-0.132,0.002,3.479,12.329,-30.64,
00:00:00:516,0.963,-0.133,-0.004,-8.851,12.695,-29.297,
00:00:00:533,0.961,-0.136,0.001,-21.119,16.845,-29.541,
00:00:00:550,0.957,-0.131,0,-31.373,18.981,-31.006,
00:00:00:566,0.962,-0.125,0,-40.345,17.578,-30.152,
00:00:00:583,0.967,-0.116,0.003,-41.138,15.808,-29.114,
00:00:00:600,0.963,-0.111,0.007,-36.805,12.207,-31.617,
00:00:00:616,0.962,-0.109,0.007,-33.509,13.366,-30.701,
00:00:00:633,0.97,-0.111,0.008,-21.79,30.883,-28.748,
00:00:00:650,0.971,-0.111,0.004,-18.25,14.404,-31.617,
00:00:00:666,0.967,-0.111,0.004,-12.757,14.587,-32.898,
00:00:00:683,0.968,-0.107,0.005,-11.475,14.16,-33.997,
00:00:00:700,0.968,-0.112,0.009,-7.081,11.596,-34.18,
00:00:00:716,0.973,-0.107,0.012,-0.55,10.803,-34.974,
00:00:00:733,0.973,-0.105,0.007,9.826,11.901,-37.903,
00:00:00:750,0.937,-0.103,0.003,23.681,4.516,-38.514,
