TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.171,0.21,0.959,-7.508,0.427,-15.809,
00:00:00:16,-0.173,0.209,0.96,-4.151,0.671,-17.762,
00:00:00:33,-0.175,0.211,0.96,-7.325,-2.686,-20.447,
00:00:00:50,-0.173,0.212,0.963,-7.935,-0.123,-20.813,
00:00:00:66,-0.174,0.213,0.962,-4.334,-0.916,-23.255,
00:00:00:83,-0.171,0.215,0.961,-5.799,-1.893,-23.316,
00:00:00:100,-0.173,0.218,0.959,-3.479,-1.709,-24.964,
00:00:00:116,-0.173,0.217,0.96,1.037,-2.503,-25.269,
00:00:00:133,-0.171,0.212,0.961,0.915,-2.381,-25.147,
00:00:00:150,-0.174,0.212,0.963,0.488,-2.32,-26.49,
00:00:00:166,-0.176,0.216,0.962,2.624,-2.991,-26.673,
00:00:00:183,-0.179,0.218,0.963,1.648,-1.343,-28.382,
00:00:00:200,-0.181,0.215,0.96,2.136,0.61,-29.175,
00:00:00:216,-0.181,0.218,0.962,2.441,4.882,-30.396,
00:00:00:233,-0.181,0.219,0.955,2.868,5.676,-32.837,
00:00:00:250,-0.175,0.214,0.963,3.723,7.629,-34.241,
00:00:00:266,-0.173,0.213,0.961,2.868,7.812,-34.729,
00:00:00:283,-0.175,0.216,0.965,-0.428,5.92,-35.401,
00:00:00:300,-0.181,0.212,0.962,-1.099,7.751,-36.499,
00:00:00:316,-0.179,0.219,0.964,-1.282,13.122,-37.171,
00:00:00:333,-0.181,0.216,0.959,3.601,18.005,-37.11,
00:00:00:350,-0.174,0.217,0.96,5.981,23.559,-35.157,
00:00:00:366,-0.175,0.213,0.961,5.004,26.184,-35.34,
00:00:00:383,-0.168,0.213,0.963,3.723,30.151,-32.532,
00:00:00:400,-0.169,0.214,0.958,2.99,31.86,-31.128,
00:00:00:416,-0.167,0.215,0.958,1.342,30.517,-29.053,
00:00:00:433,-0.162,0.214,0.957,4.577,27.893,-25.818,
00:00:00:450,-0.162,0.217,0.954,3.967,19.653,-21.973,
00:00:00:466,-0.162,0.216,0.955,2.075,12.329,-20.63,
00:00:00:483,-0.161,0.217,0.954,0.244,5.981,-17.579,
00:00:00:500,-0.16,0.217,0.956,-1.587,-0.977,-17.762,
00:00:00:516,-0.16,0.219,0.959,-4.639,-5.494,-19.776,
00:00:00:533,-0.168,0.224,0.961,-6.714,-7.142,-21.18,
00:00:00:550,-0.173,0.222,0.96,-8.179,-5.738,-24.659,
00:00:00:566,-0.176,0.22,0.96,-12.452,-4.029,-27.405,
00:00:00:583,-0.175,0.219,0.961,-15.503,-1.648,-31.861,
00:00:00:600,-0.178,0.223,0.959,-17.823,0.854,-33.265,
