TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:12:400,-0.141,-0.142,1.189,-56.885,64.27,-143.006,
00:00:12:416,-0.138,-0.115,1.149,-52.002,34.423,-116.7,
00:00:12:433,-0.16,-0.191,1.156,-18.25,11.901,-93.811,
00:00:12:450,-0.179,-0.242,1.144,-29.419,-14.954,-81.849,
00:00:12:466,-0.176,-0.293,1.133,-58.777,-35.096,-99.915,
00:00:12:483,-0.173,-0.309,1.054,-42.908,-25.696,-89.6,
00:00:12:500,-0.147,-0.198,0.986,8.789,-40.101,-68.055,
00:00:12:516,-0.136,-0.244,0.996,72.57,-41.199,-41.138,
00:00:12:533,-0.14,-0.2,0.997,95.153,-37.415,-23.621,
00:00:12:550,-0.141,-0.233,1.005,84.838,-28.87,-4.761,
00:00:12:566,-0.142,-0.207,1.006,30.639,-17.029,-7.203,
00:00:12:583,-0.142,-0.219,0.984,-7.996,-2.137,1.098,
00:00:12:600,-0.134,-0.168,0.961,-0.184,-0.245,7.751,
00:00:12:616,-0.139,-0.196,0.947,20.568,0.793,9.521,
00:00:12:633,-0.135,-0.209,0.962,61.828,-4.883,10.986,
00:00:12:650,-0.138,-0.256,0.974,42.541,-1.77,8.667,
00:00:12:666,-0.131,-0.225,0.951,16.601,-9.4,-3.235,
00:00:12:683,-0.138,-0.245,0.958,14.16,0.854,-6.409,
00:00:12:700,-0.135,-0.229,0.953,-23.438,8.056,-11.963,
00:00:12:716,-0.125,-0.207,0.953,-9.095,17.089,-10.621,
00:00:12:733,-0.136,-0.244,0.976,-17.64,24.536,-15.931,
00:00:12:750,-0.126,-0.257,0.952,-46.753,26.672,-23.804,
00:00:12:766,-0.125,-0.225,0.947,-67.017,18.005,-31.739,
00:00:12:783,-0.115,-0.209,0.96,-11.902,8.056,-35.95,
00:00:12:800,-0.123,-0.254,0.98,5.188,7.324,-30.884,
00:00:12:816,-0.126,-0.239,0.995,-15.564,9.033,-30.152,
00:00:12:833,-0.111,-0.242,0.978,-25.879,7.873,-31.861,
00:00:12:850,-0.124,-0.22,0.992,-16.724,7.568,-24.537,
00:00:12:866,-0.113,-0.22,0.974,-17.64,13.244,-24.048,
00:00:12:883,-0.12,-0.226,0.977,-15.87,14.587,-21.18,
00:00:12:900,-0.125,-0.222,0.986,-31.495,23.864,-22.278,
00:00:12:916,-0.125,-0.224,0.979,-64.393,27.893,-30.518,
00:00:12:933,-0.115,-0.192,0.973,-71.961,28.442,-33.448,
00:00:12:950,-0.123,-0.193,0.984,-41.138,27.526,-33.509,
00:00:12:966,-0.119,-0.212,0.98,-37.171,23.193,-32.288,
00:00:12:983,-0.125,-0.199,0.994,-15.748,16.113,-32.837,
00:00:13:0,-0.125,-0.219,0.987,16.296,8.117,-38.514,
00:00:13:16,-0.125,-0.197,0.992,12.451,7.446,-31.189,
00:00:13:33,-0.121,-0.211,0.988,-2.747,10.315,-28.565,
00:00:13:50,-0.125,-0.196,0.984,-6.348,15.197,-27.039,
00:00:13:66,-0.13,-0.21,0.989,-5.982,16.052,-22.889,
00:00:13:83,-0.129,-0.206,0.974,-12.391,20.996,-27.466,
00:00:13:100,-0.123,-0.201,0.967,-17.884,20.141,-30.518,
00:00:13:116,-0.115,-0.195,0.963,-5.555,16.54,-26.673,
00:00:13:133,-0.118,-0.204,0.969,-9.4,18.432,-26.429,
00:00:13:150,-0.121,-0.181,0.975,-20.02,17.211,-24.964,
00:00:13:166,-0.116,-0.209,0.974,-17.64,23.193,-24.476,
00:00:13:183,-0.119,-0.186,0.962,-27.955,19.165,-31.678,
00:00:13:200,-0.118,-0.208,0.974,-30.152,24.353,-30.579,
00:00:13:216,-0.11,-0.204,0.967,-57.435,25.207,-37.842,
00:00:13:233,-0.118,-0.174,0.979,-43.335,29.052,-35.157,
00:00:13:250,-0.119,-0.203,0.992,-40.772,37.292,-33.02,
00:00:13:266,-0.125,-0.205,0.997,-75.257,45.288,-36.744,
00:00:13:283,-0.129,-0.168,0.991,-83.374,47.973,-41.138,
00:00:13:300,-0.124,-0.178,0.989,-33.081,47.485,-38.269,
00:00:13:316,-0.117,-0.189,1.002,-42.176,43.64,-35.462,
00:00:13:333,-0.117,-0.176,1,-35.706,41.992,-31.8,
00:00:13:350,-0.113,-0.187,1.01,-35.157,40.527,-31.067,
00:00:13:366,-0.118,-0.183,1.011,-44.312,43.335,-29.664,
00:00:13:383,-0.106,-0.182,1.011,-60.73,44.006,-28.87,
00:00:13:400,-0.106,-0.168,1.021,-64.454,39.917,-27.588,
00:00:13:416,-0.094,-0.164,1.025,-61.219,29.663,-32.776,
00:00:13:433,-0.1,-0.187,1.026,-42.542,19.226,-28.077,
00:00:13:450,-0.093,-0.16,1.025,-37.659,8.789,-29.908,
