TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:01:500,0.076,0.395,0.893,5.615,3.906,-21.79,
00:00:01:516,0.07,0.421,0.893,-1.343,4.211,-21.424,
00:00:01:533,0.069,0.447,0.883,3.418,11.596,-22.889,
00:00:01:550,0.076,0.427,0.883,15.136,17.944,-25.696,
00:00:01:566,0.083,0.412,0.885,12.39,13.61,-23.255,
00:00:01:583,0.078,0.399,0.887,2.746,0.488,-21.18,
00:00:01:600,0.07,0.428,0.894,-1.954,-2.137,-21.729,
00:00:01:616,0.066,0.449,0.885,5.493,11.779,-22.583,
00:00:01:633,0.073,0.43,0.88,17.639,23.071,-24.109,
00:00:01:650,0.084,0.41,0.89,14.526,17.822,-22.095,
00:00:01:666,0.081,0.407,0.885,4.394,4.943,-20.02,
00:00:01:683,0.074,0.419,0.887,10.742,15.258,-21.912,
00:00:01:700,0.078,0.414,0.886,7.202,10.925,-20.997,
00:00:01:716,0.077,0.419,0.886,2.624,7.019,-19.349,
00:00:01:733,0.071,0.424,0.893,3.479,8.056,-19.959,
00:00:01:750,0.073,0.426,0.882,5.31,15.136,-21.851,
00:00:01:766,0.078,0.413,0.887,4.638,15.808,-23.133,
00:00:01:783,0.078,0.423,0.886,4.028,11.291,-21.973,
00:00:01:800,0.075,0.43,0.887,8.117,12.39,-20.63,
00:00:01:816,0.075,0.415,0.885,9.216,13.183,-21.546,
00:00:01:833,0.077,0.423,0.886,7.08,11.779,-21.668,
00:00:01:850,0.079,0.414,0.889,4.577,5.92,-20.813,
00:00:01:866,0.073,0.42,0.891,2.624,3.295,-20.142,
00:00:01:883,0.073,0.427,0.889,1.159,9.094,-22.767,
00:00:01:900,0.077,0.425,0.882,5.859,15.869,-23.438,
00:00:01:916,0.079,0.419,0.885,9.765,10.131,-21.729,
00:00:01:933,0.079,0.418,0.892,5.31,7.812,-21.485,
00:00:01:950,0.077,0.418,0.887,0.732,8.911,-21.485,
00:00:01:966,0.078,0.431,0.889,1.098,11.413,-21.973,
00:00:01:983,0.078,0.434,0.882,7.263,12.512,-21.424,
00:00:02:0,0.074,0.416,0.89,5.798,10.742,-22.583,
00:00:02:16,0.078,0.42,0.891,2.746,10.192,-21.058,
00:00:02:33,0.074,0.424,0.888,4.333,11.474,-20.997,
00:00:02:50,0.077,0.425,0.886,5.798,14.587,-21.851,
00:00:02:66,0.08,0.42,0.884,7.141,12.451,-23.865,
00:00:02:83,0.073,0.422,0.888,4.089,11.474,-22.644,
00:00:02:100,0.077,0.423,0.888,7.812,13,-20.508,
00:00:02:116,0.077,0.424,0.886,6.225,15.564,-22.828,
00:00:02:133,0.078,0.415,0.885,5.188,12.817,-21.119,
00:00:02:150,0.081,0.425,0.886,2.868,10.681,-22.217,
00:00:02:166,0.077,0.431,0.888,7.873,9.704,-21.302,
00:00:02:183,0.076,0.425,0.885,9.155,11.84,-20.874,
00:00:02:200,0.076,0.417,0.886,8.728,11.535,-22.706,
00:00:02:216,0.081,0.418,0.888,6.652,10.253,-20.997,
00:00:02:233,0.078,0.419,0.889,1.892,7.69,-19.898,
00:00:02:250,0.077,0.426,0.878,3.051,9.826,-21.668,
00:00:02:266,0.079,0.426,0.886,4.089,14.221,-22.828,
00:00:02:283,0.078,0.426,0.885,6.958,11.596,-22.767,
00:00:02:300,0.076,0.426,0.892,9.033,13.488,-23.133,
00:00:02:316,0.082,0.421,0.883,10.315,13.122,-21.546,
00:00:02:333,0.084,0.408,0.89,2.197,6.469,-24.292,
00:00:02:350,0.077,0.427,0.883,-0.672,3.112,-20.997,
00:00:02:366,0.077,0.439,0.879,5.371,10.009,-20.142,
00:00:02:383,0.078,0.411,0.891,7.751,10.376,-24.292,
00:00:02:400,0.078,0.422,0.89,5.676,9.643,-23.865,
00:00:02:416,0.075,0.433,0.884,7.568,13.183,-21.058,
00:00:02:433,0.078,0.415,0.885,7.08,14.526,-26.001,
00:00:02:450,0.084,0.423,0.884,6.347,13,-21.912,
00:00:02:466,0.082,0.424,0.889,5.737,8.117,-21.79,
00:00:02:483,0.077,0.424,0.887,8.483,9.033,-21.058,
00:00:02:500,0.078,0.424,0.886,5.859,13.427,-22.4,
