TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.356,0.753,0.554,-17.945,7.385,-28.626,
00:00:00:16,-0.351,0.752,0.557,-14.344,10.07,-30.945,
00:00:00:33,-0.355,0.755,0.558,-14.771,10.376,-30.152,
00:00:00:50,-0.356,0.75,0.558,-16.175,11.901,-30.335,
00:00:00:66,-0.353,0.75,0.556,-16.785,8.422,-30.762,
00:00:00:83,-0.355,0.749,0.557,-18.921,8.544,-29.541,
00:00:00:100,-0.355,0.751,0.557,-19.41,10.376,-29.48,
00:00:00:116,-0.353,0.75,0.554,-17.64,9.643,-29.908,
00:00:00:133,-0.354,0.753,0.557,-18.433,10.62,-30.762,
00:00:00:150,-0.355,0.751,0.556,-17.456,8.239,-27.894,
00:00:00:166,-0.353,0.751,0.556,-16.724,8.85,-30.152,
00:00:00:183,-0.353,0.753,0.556,-15.564,7.263,-29.725,
00:00:00:200,-0.355,0.749,0.554,-16.724,8.728,-31.373,
00:00:00:216,-0.353,0.75,0.56,-15.32,6.164,-30.823,
00:00:00:233,-0.356,0.72,0.556,-19.41,7.141,-30.518,
00:00:00:250,-0.354,0.75,0.559,-15.686,8.3,-31.8,
00:00:00:266,-0.35,0.753,0.553,-18.738,10.315,-29.847,
00:00:00:283,-0.354,0.752,0.557,-17.029,10.07,-32.349,
00:00:00:300,-0.355,0.751,0.556,-30.945,14.099,-30.823,
00:00:00:316,-0.352,0.75,0.557,-16.358,12.085,-15.931,
00:00:00:333,-0.353,0.751,0.56,-19.349,12.39,-33.02,
00:00:00:350,-0.355,0.751,0.555,-18.799,13.305,-33.509,
00:00:00:366,-0.351,0.751,0.558,-17.456,12.817,-33.326,
00:00:00:383,-0.355,0.751,0.557,-20.447,15.747,-33.265,
00:00:00:400,-0.354,0.753,0.558,-18.677,14.221,-34.241,
00:00:00:416,-0.353,0.751,0.556,-16.907,14.465,-33.57,
00:00:00:433,-0.352,0.75,0.559,-18.006,13.916,-33.509,
00:00:00:450,-0.352,0.75,0.56,-17.518,14.892,-35.706,
00:00:00:466,-0.353,0.752,0.557,-17.212,13.305,-34.974,
00:00:00:483,-0.351,0.752,0.556,-19.288,14.16,-33.875,
00:00:00:500,-0.352,0.753,0.557,-18.555,13,-33.936,
00:00:00:516,-0.352,0.753,0.554,-18.067,12.695,-34.729,
00:00:00:533,-0.351,0.752,0.554,-18.25,15.136,-33.081,
00:00:00:550,-0.352,0.751,0.554,-15.87,16.784,-34.424,
00:00:00:566,-0.352,0.755,0.557,-19.227,12.207,-34.729,
00:00:00:583,-0.351,0.751,0.556,-15.198,13.366,-35.34,
00:00:00:600,-0.349,0.751,0.555,-17.884,16.54,-35.523,
00:00:00:616,-0.351,0.751,0.557,-18.738,16.54,-34.607,
00:00:00:633,-0.35,0.755,0.557,-16.541,12.939,-34.18,
00:00:00:650,-0.349,0.756,0.556,-13.733,16.54,-34.668,
00:00:00:666,-0.351,0.751,0.559,-12.452,17.456,-34.363,
00:00:00:683,-0.35,0.752,0.562,-14.771,13.366,-36.499,
00:00:00:700,-0.349,0.752,0.554,-15.259,16.906,-34.546,
00:00:00:716,-0.348,0.755,0.562,-16.358,14.892,-34.424,
00:00:00:733,-0.349,0.753,0.56,-15.076,14.831,-33.204,
00:00:00:750,-0.347,0.753,0.558,-14.039,13.183,-34.058,
00:00:00:766,-0.347,0.751,0.552,-17.823,14.892,-34.363,
00:00:00:783,-0.345,0.752,0.56,-18.128,12.817,-35.584,
00:00:00:800,-0.348,0.753,0.557,-17.823,12.634,-35.096,
00:00:00:816,-0.346,0.751,0.559,-14.466,16.174,-35.767,
00:00:00:833,-0.348,0.753,0.558,-16.114,14.892,-33.753,
00:00:00:850,-0.351,0.753,0.557,-18.128,14.038,-33.814,
00:00:00:866,-0.345,0.755,0.56,-16.907,0.915,-34.363,
00:00:00:883,-0.346,0.755,0.556,-16.663,12.573,-34.18,
00:00:00:900,-0.346,0.752,0.559,-18.372,17.089,-34.18,
00:00:00:916,-0.344,0.756,0.553,-17.334,14.526,-33.509,
00:00:00:933,-0.348,0.754,0.555,-18.86,13.488,-33.57,
00:00:00:950,-0.347,0.755,0.557,-18.555,15.014,-34.913,
00:00:00:966,-0.346,0.753,0.559,-15.748,14.587,-33.448,
00:00:00:983,-0.341,0.749,0.559,-16.785,14.038,-33.081,
00:00:01:0,-0.344,0.755,0.559,-17.945,13.61,-31.067,
00:00:01:16,-0.346,0.756,0.557,-20.447,10.925,-33.448,
00:00:01:33,-0.346,0.759,0.557,-18.921,13,-34.363,
00:00:01:50,-0.347,0.757,0.557,-16.236,12.023,-36.133,
00:00:01:66,-0.348,0.755,0.556,-13.855,16.235,-35.096,
00:00:01:83,-0.341,0.753,0.557,-13.855,13.488,-33.448,
00:00:01:100,-0.341,0.751,0.564,-15.076,13.122,-34.974,
00:00:01:116,-0.343,0.748,0.557,-20.386,12.512,-33.448,
00:00:01:133,-0.34,0.757,0.551,-12.452,9.826,-28.199,
00:00:01:150,-0.342,0.758,0.56,-10.621,11.535,-29.48,
00:00:01:166,-0.344,0.752,0.557,-10.071,10.07,-29.786,
00:00:01:183,-0.344,0.75,0.561,-14.344,8.85,-30.701,
00:00:01:200,-0.342,0.755,0.56,-18.677,8.972,-29.847,
00:00:01:216,-0.345,0.755,0.56,-16.602,5.737,-30.091,
00:00:01:233,-0.344,0.756,0.559,-17.273,10.803,-30.091,
00:00:01:250,-0.342,0.756,0.561,-14.039,10.986,-30.579,
00:00:01:266,-0.347,0.753,0.56,-11.658,9.46,-29.541,
00:00:01:283,-0.342,0.753,0.557,-13.123,8.667,-29.114,
00:00:01:300,-0.343,0.753,0.561,-16.236,10.925,-27.222,
00:00:01:316,-0.346,0.756,0.557,-17.151,8.239,-29.053,
00:00:01:333,-0.343,0.756,0.558,-16.968,5.249,-28.504,
00:00:01:350,-0.346,0.755,0.558,-15.809,7.751,-27.955,
00:00:01:366,-0.344,0.755,0.556,-13.55,5.92,-30.274,
00:00:01:383,-0.347,0.754,0.56,-12.085,6.164,-29.114,
00:00:01:400,-0.344,0.753,0.558,-11.963,6.836,-30.579,
00:00:01:416,-0.344,0.755,0.559,-14.527,3.967,-30.335,
00:00:01:433,-0.345,0.752,0.558,-11.414,4.577,-31.311,
00:00:01:450,-0.344,0.754,0.559,-13.916,4.699,-29.725,
00:00:01:466,-0.347,0.753,0.556,-14.832,7.385,-29.236,
00:00:01:483,-0.346,0.749,0.557,-15.564,6.713,-30.64,
00:00:01:500,-0.345,0.754,0.559,-14.771,4.638,-31.189,
00:00:01:516,-0.347,0.754,0.56,-18.189,5.798,-31.678,
00:00:01:533,-0.344,0.756,0.56,-17.029,6.042,-28.321,
00:00:01:550,-0.347,0.754,0.561,-15.625,7.263,-31.678,
00:00:01:566,-0.346,0.755,0.561,-13.123,5.798,-30.152,
00:00:01:583,-0.344,0.751,0.56,-13.367,11.047,-32.044,
00:00:01:600,-0.346,0.755,0.56,-16.297,10.742,-31.006,
00:00:01:616,-0.347,0.753,0.563,-16.114,8.789,-28.748,
00:00:01:633,-0.345,0.756,0.559,-15.503,8.178,-31.189,
00:00:01:650,-0.344,0.754,0.558,-15.87,7.446,-30.396,
00:00:01:666,-0.346,0.753,0.555,-14.405,8.85,-30.64,
00:00:01:683,-0.344,0.754,0.56,-13.001,10.376,-31.556,
00:00:01:700,-0.347,0.751,0.558,-14.588,9.704,-31.556,
00:00:01:716,-0.346,0.755,0.562,-15.748,9.948,-30.579,
00:00:01:733,-0.346,0.754,0.559,-16.785,9.826,-29.908,
00:00:01:750,-0.346,0.752,0.558,-16.114,12.146,-31.311,
00:00:01:766,-0.344,0.755,0.557,-13.855,6.713,-29.664,
00:00:01:783,-0.343,0.752,0.56,-13.123,5.493,-29.786,
00:00:01:800,-0.344,0.752,0.563,-13.123,5.371,-31.983,
00:00:01:816,-0.344,0.751,0.558,-14.832,7.69,-31.067,
00:00:01:833,-0.347,0.751,0.558,-13.672,7.263,-30.396,
00:00:01:850,-0.345,0.755,0.558,-14.161,6.958,-31.556,
00:00:01:866,-0.344,0.751,0.562,-12.513,7.995,-29.175,
00:00:01:883,-0.347,0.752,0.559,-12.085,8.789,-28.626,
