TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.957,-0.317,0.437,-36.866,-39.368,132.08,
00:00:00:16,0.931,-0.286,0.425,10.62,-81.36,110.29,
00:00:00:33,0.892,-0.252,0.42,69.458,-114.624,83.496,
00:00:00:50,0.856,-0.254,0.426,119.445,-113.282,50.17,
00:00:00:66,0.833,-0.274,0.439,149.353,-88.746,13.855,
00:00:00:83,0.826,-0.286,0.43,160.095,-54.627,-7.935,
00:00:00:100,0.817,-0.285,0.396,148.071,-28.199,-30.518,
00:00:00:116,0.798,-0.273,0.394,123.535,-20.63,-46.692,
00:00:00:133,0.77,-0.285,0.412,87.036,-2.808,-59.876,
00:00:00:150,0.752,-0.295,0.433,39.184,35.949,-64.515,
00:00:00:166,0.738,-0.286,0.435,-6.165,70.556,-70.74,
00:00:00:183,0.706,-0.262,0.423,-33.509,74.279,-80.445,
00:00:00:200,0.668,-0.251,0.423,-49.256,75.561,-92.652,
00:00:00:216,0.648,-0.253,0.435,-68.604,111.328,-104.981,
00:00:00:233,0.676,-0.26,0.46,-83.619,175.048,-109.436,
00:00:00:250,0.747,-0.266,0.46,-96.375,218.628,-113.221,
00:00:00:266,0.813,-0.271,0.454,-95.154,209.655,-111.695,
00:00:00:283,0.848,-0.275,0.445,-87.708,174.804,-107.361,
00:00:00:300,0.864,-0.285,0.435,-85.144,150.146,-101.868,
00:00:00:316,0.9,-0.3,0.439,-81.177,161.987,-87.586,
00:00:00:333,0.975,-0.335,0.44,-80.018,194.213,-70.252,
00:00:00:350,1.033,-0.37,0.435,-100.647,161.316,-57.557,
00:00:00:366,1.006,-0.368,0.422,-144.837,62.683,-61.036,
00:00:00:383,0.906,-0.323,0.409,-168.702,-11.78,-85.816,
00:00:00:400,0.831,-0.3,0.375,-165.467,-2.259,-104.615,
00:00:00:416,0.828,-0.298,0.342,-146.851,39.001,-125.123,
00:00:00:433,0.873,-0.297,0.307,-132.935,46.02,-132.752,
00:00:00:450,0.901,-0.282,0.301,-111.145,7.446,-137.391,
00:00:00:466,0.905,-0.282,0.322,-76.355,-33.57,-134.888,
00:00:00:483,0.896,-0.29,0.346,-38.208,-47.974,-119.629,
00:00:00:500,0.882,-0.297,0.34,13.732,-54.017,-96.192,
00:00:00:516,0.861,-0.304,0.323,53.1,-58.716,-82.764,
00:00:00:533,0.838,-0.312,0.314,84.899,-54.688,-72.205,
00:00:00:550,0.817,-0.317,0.312,101.257,-42.176,-64.698,
00:00:00:566,0.81,-0.332,0.317,99.06,-13.55,-60.669,
00:00:00:583,0.819,-0.359,0.333,73.059,2.014,-57.862,
00:00:00:600,0.821,-0.368,0.324,29.235,16.235,-39.795,
00:00:00:616,0.818,-0.347,0.32,1.892,21.057,-22.889,
00:00:00:633,0.819,-0.344,0.326,-1.709,26.916,-13.184,
00:00:00:650,0.834,-0.359,0.329,-4.151,38.024,-5.494,
00:00:00:666,0.848,-0.371,0.336,-19.959,38.574,2.441,
00:00:00:683,0.846,-0.367,0.349,-37.72,34.118,8.239,
00:00:00:700,0.838,-0.359,0.349,-38.453,34.179,6.103,
00:00:00:716,0.838,-0.356,0.351,-28.321,37.963,6.958,
00:00:00:733,0.839,-0.355,0.345,-19.532,42.663,3.479,
00:00:00:750,0.845,-0.36,0.353,-21.058,33.264,-2.381,
00:00:00:766,0.828,-0.362,0.375,-42.542,18.249,-10.315,
00:00:00:783,0.843,-0.351,0.415,-53.284,23.864,-8.545,
00:00:00:800,0.866,-0.347,0.423,-51.026,9.399,-6.775,
00:00:00:816,0.882,-0.332,0.421,-40.223,-22.217,-7.142,
00:00:00:833,0.883,-0.318,0.414,-9.888,-49.927,-6.958,
00:00:00:850,0.85,-0.344,0.41,111.572,-112.61,-29.786,
00:00:00:866,0.846,-0.332,0.421,121.582,-110.352,-38.269,
00:00:00:883,0.845,-0.352,0.417,111.633,-101.075,-45.96,
00:00:00:900,0.843,-0.359,0.405,95.764,-89.112,-46.265,
00:00:00:916,0.841,-0.352,0.381,72.753,-79.712,-48.523,
00:00:00:933,0.834,-0.352,0.378,51.452,-76.722,-54.993,
00:00:00:950,0.824,-0.353,0.374,27.648,-64.27,-59.998,
00:00:00:966,0.82,-0.346,0.372,3.418,-49.012,-66.529,
00:00:00:983,0.816,-0.334,0.373,-11.414,-32.837,-72.388,
00:00:01:0,0.819,-0.325,0.37,-12.94,-14.893,-75.562,
00:00:01:16,0.823,-0.324,0.367,-4.883,-5.005,-77.637,
00:00:01:33,0.825,-0.327,0.374,-9.888,8.361,-68.299,
00:00:01:50,0.828,-0.329,0.368,-7.508,9.887,-61.158,
00:00:01:66,0.829,-0.327,0.371,-6.592,7.629,-53.04,
00:00:01:83,0.834,-0.325,0.372,6.469,10.62,-46.814,
00:00:01:100,0.838,-0.332,0.344,11.535,8.606,-40.833,
00:00:01:116,0.84,-0.339,0.382,15.197,4.455,-39.185,
00:00:01:133,0.835,-0.341,0.392,18.493,5.554,-37.232,
00:00:01:150,0.83,-0.335,0.391,33.142,14.343,-37.964,
00:00:01:166,0.831,-0.335,0.388,49.194,15.625,-45.166,
00:00:01:183,0.83,-0.335,0.39,70.495,20.385,-52.124,
00:00:01:200,0.829,-0.341,0.393,88.745,22.705,-57.068,
00:00:01:216,0.82,-0.361,0.397,81.176,27.648,-62.867,
00:00:01:233,0.816,-0.361,0.398,63.171,29.052,-56.946,
00:00:01:250,0.818,-0.36,0.397,42.541,30.212,-48.34,
00:00:01:266,0.821,-0.362,0.395,27.221,25.817,-43.152,
00:00:01:283,0.821,-0.363,0.397,13.427,20.385,-34.913,
00:00:01:300,0.826,-0.353,0.404,-13.733,13.916,-20.752,
00:00:01:316,0.826,-0.357,0.4,-5.921,15.747,-22.034,
00:00:01:333,0.835,-0.355,0.396,-1.648,14.404,-19.349,
00:00:01:350,0.836,-0.354,0.394,4.516,11.779,-22.644,
00:00:01:366,0.837,-0.354,0.395,6.591,5.676,-24.353,
00:00:01:383,0.832,-0.357,0.388,10.62,9.399,-22.4,
00:00:01:400,0.83,-0.365,0.376,15.258,11.535,-21.18,
00:00:01:416,0.824,-0.365,0.379,10.07,8.606,-19.471,
00:00:01:433,0.811,-0.36,0.388,3.356,17.822,-15.564,
00:00:01:450,0.811,-0.355,0.386,13.732,23.315,-16.663,
00:00:01:466,0.817,-0.358,0.384,24.292,26.001,-17.395,
00:00:01:483,0.817,-0.364,0.391,33.02,25.024,-18.616,
00:00:01:500,0.819,-0.364,0.393,45.837,16.296,-20.569,
00:00:01:516,0.81,-0.366,0.386,57.678,13.977,-21.241,
00:00:01:533,0.816,-0.373,0.392,69.336,17.028,-24.659,
00:00:01:550,0.829,-0.392,0.392,68.359,2.441,-22.889,
00:00:01:566,0.825,-0.395,0.392,56.701,-4.761,-19.165,
00:00:01:583,0.821,-0.399,0.393,41.626,-5.494,-19.959,
00:00:01:600,0.822,-0.403,0.386,24.78,-6.714,-16.846,
00:00:01:616,0.822,-0.399,0.384,7.568,-1.221,-16.968,
00:00:01:633,0.821,-0.394,0.385,-6.47,-1.16,-23.194,
00:00:01:650,0.817,-0.388,0.385,-20.569,23.925,-41.138,
00:00:01:666,0.817,-0.389,0.381,-29.419,30.578,-40.284,
00:00:01:683,0.819,-0.381,0.379,-43.274,35.217,-41.687,
00:00:01:700,0.818,-0.345,0.38,-45.533,36.56,-40.833,
00:00:01:716,0.821,-0.375,0.378,-46.265,37.658,-39.49,
00:00:01:733,0.831,-0.376,0.377,-43.824,33.508,-34.485,
00:00:01:750,0.835,-0.377,0.375,-42.664,33.203,-33.143,
00:00:01:766,0.837,-0.368,0.376,-40.162,25.085,-34.424,
00:00:01:783,0.839,-0.365,0.376,-35.279,17.15,-40.772,
00:00:01:800,0.843,-0.364,0.373,-25.94,12.817,-41.993,
00:00:01:816,0.837,-0.362,0.367,-14.954,8.3,-41.504,
00:00:01:833,0.835,-0.359,0.367,-4.944,1.586,-42.176,
00:00:01:850,0.83,-0.363,0.366,-2.93,2.868,-42.969,
00:00:01:866,0.825,-0.367,0.363,-0.855,7.08,-40.284,
00:00:01:883,0.822,-0.371,0.359,-4.395,11.352,-39.063,
00:00:01:900,0.822,-0.373,0.359,-10.437,16.052,-36.194,
00:00:01:916,0.825,-0.371,0.363,-29.236,30.395,-24.231,
00:00:01:933,0.829,-0.371,0.366,-30.396,31.311,-26.062,
00:00:01:950,0.839,-0.371,0.364,-24.964,30.517,-29.358,
00:00:01:966,0.838,-0.37,0.365,-18.799,26.855,-30.701,
00:00:01:983,0.84,-0.367,0.368,-10.01,19.226,-31.495,
00:00:02:0,0.832,-0.372,0.364,-5.738,18.31,-32.654,
00:00:02:16,0.829,-0.374,0.364,-1.526,14.465,-30.762,
00:00:02:33,0.831,-0.378,0.36,-1.831,15.808,-25.818,
00:00:02:50,0.831,-0.379,0.358,-4.883,9.948,-22.889,
00:00:02:66,0.825,-0.375,0.364,-3.052,9.46,-23.804,
00:00:02:83,0.823,-0.381,0.37,-1.16,13.855,-23.56,
00:00:02:100,0.833,-0.387,0.367,-3.479,20.08,-23.194,
00:00:02:116,0.832,-0.382,0.358,-6.348,18.188,-22.828,
00:00:02:133,0.827,-0.377,0.361,-1.954,13.427,-26.978,
00:00:02:150,0.823,-0.384,0.365,0.183,15.075,-29.664,
00:00:02:166,0.829,-0.389,0.368,-6.043,17.028,-27.222,
00:00:02:183,0.829,-0.389,0.369,-11.048,18.127,-28.748,
00:00:02:200,0.83,-0.382,0.366,-13.428,17.395,-31.311,
00:00:02:216,0.829,-0.376,0.364,-7.447,21.85,-31.8,
00:00:02:233,0.828,-0.375,0.361,-0.855,19.043,-29.664,
00:00:02:250,0.824,-0.379,0.365,0.488,18.066,-28.809,
00:00:02:266,0.821,-0.387,0.369,-5.005,20.263,-28.016,
00:00:02:283,0.821,-0.388,0.367,-17.518,26.062,-25.879,
00:00:02:300,0.822,-0.376,0.365,-27.161,24.231,-26.246,
00:00:02:316,0.82,-0.368,0.367,-25.757,27.282,-26.673,
00:00:02:333,0.824,-0.37,0.368,-12.635,31.066,-27.955,
00:00:02:350,0.826,-0.379,0.363,-12.146,30.212,-25.757,
00:00:02:366,0.826,-0.385,0.371,-19.227,30.029,-21.912,
00:00:02:383,0.828,-0.389,0.369,-27.1,46.691,-22.828,
00:00:02:400,0.828,-0.388,0.369,-36.866,33.813,-20.569,
00:00:02:416,0.826,-0.377,0.366,-37.354,29.846,-23.072,
00:00:02:433,0.828,-0.373,0.366,-26.551,32.653,-25.147,
00:00:02:450,0.83,-0.384,0.369,-18.86,30.456,-28.382,
00:00:02:466,0.83,-0.389,0.366,-18.86,29.113,-27.344,
00:00:02:483,0.828,-0.387,0.362,-24.537,33.264,-25.879,
00:00:02:500,0.826,-0.387,0.361,-32.105,36.377,-28.809,
00:00:02:516,0.831,-0.391,0.361,-39.734,34.118,-32.715,
00:00:02:533,0.829,-0.385,0.357,-46.692,36.499,-35.645,
00:00:02:550,0.827,-0.369,0.351,-43.824,37.902,-39.673,
00:00:02:566,0.822,-0.364,0.349,-33.448,39.978,-41.993,
00:00:02:583,0.825,-0.373,0.34,-25.574,41.565,-39.307,
00:00:02:600,0.822,-0.382,0.335,-29.969,45.532,-35.584,
00:00:02:616,0.819,-0.392,0.336,-50.415,50.354,-29.664,
00:00:02:633,0.811,-0.387,0.341,-72.083,57.434,-25.635,
00:00:02:650,0.806,-0.384,0.351,-88.562,75.317,-29.175,
00:00:02:666,0.807,-0.394,0.355,-107.239,101.257,-32.654,
00:00:02:683,0.827,-0.392,0.369,-130.372,123.474,-33.265,
00:00:02:700,0.843,-0.383,0.373,-144.776,126.403,-40.589,
00:00:02:716,0.858,-0.38,0.378,-145.386,117.37,-46.387,
00:00:02:733,0.866,-0.376,0.38,-142.212,99.487,-48.829,
00:00:02:750,0.865,-0.373,0.388,-142.09,77.697,-52.491,
00:00:02:766,0.857,-0.356,0.39,-128.724,55.114,-61.402,
00:00:02:783,0.853,-0.346,0.39,-101.38,42.724,-66.834,
00:00:02:800,0.846,-0.342,0.384,-64.393,32.104,-70.13,
00:00:02:816,0.848,-0.34,0.384,-36.255,22.216,-67.444,
00:00:02:833,0.845,-0.353,0.374,-13.855,10.498,-68.848,
00:00:02:850,0.845,-0.36,0.366,-9.888,3.173,-64.881,
00:00:02:866,0.847,-0.367,0.35,-19.898,0.183,-62.806,
00:00:02:883,0.843,-0.356,0.344,-28.138,-0.916,-60.303,
00:00:02:900,0.841,-0.35,0.343,-29.419,-3.113,-62.745,
00:00:02:916,0.838,-0.352,0.336,-25.391,2.868,-65.308,
00:00:02:933,0.841,-0.355,0.329,-23.255,15.869,-64.454,
00:00:02:950,0.842,-0.355,0.32,-26.246,24.353,-60.975,
00:00:02:966,0.839,-0.357,0.313,-32.532,24.719,-57.923,
00:00:02:983,0.835,-0.356,0.304,-32.776,35.461,-53.772,
00:00:03:0,0.835,-0.362,0.302,-30.152,50.781,-52.613,
00:00:03:16,0.85,-0.39,0.301,-33.753,70.8,-58.533,
00:00:03:33,0.875,-0.441,0.235,-33.936,125.976,-72.205,
00:00:03:50,0.85,-0.59,-0.04,-100.403,266.174,-123.291,
00:00:03:66,0.911,-1.109,0.108,-682.373,577.758,-249.085,
00:00:03:83,3.999,0.138,2.604,-2000,1999.694,-436.402,
00:00:03:100,3.999,0.451,1.124,-2000,734.253,-1131.165,
00:00:03:116,3.999,0.496,0.826,-1305.909,-1197.022,-1027.588,
00:00:03:133,3.873,0.094,1.571,-142.518,-1939.515,-988.831,
00:00:03:150,3.76,-0.862,1.531,-50.843,-2000,-874.329,
00:00:03:166,3.263,-1.048,0.993,-665.589,-2000,-364.136,
00:00:03:183,2.584,-0.842,0.206,-766.236,-2000,-10.376,
00:00:03:200,2.216,-1.116,-0.787,-547.608,-2000,120.178,
00:00:03:216,1.976,-1.616,-1.326,-443.726,-2000,111.206,
00:00:03:233,1.837,-1.808,-1.93,-643.677,-2000,72.692,
00:00:03:250,1.788,-1.719,-2.566,-873.414,-2000,-336.609,
00:00:03:266,1.769,-1.33,-4,-1178.04,-2000,-948.304,
00:00:03:283,1.242,-0.49,-4,-1430.542,-2000,-1165.711,
