TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:01:450,0.023,-0.635,0.807,3.051,19.348,-19.715,
00:00:01:466,0.025,-0.632,0.806,-4.151,19.226,-23.072,
00:00:01:483,0.025,-0.626,0.807,-7.752,18.859,-27.344,
00:00:01:500,0.024,-0.629,0.808,-8.362,16.174,-26.795,
00:00:01:516,0.021,-0.63,0.801,-10.865,16.662,-28.87,
00:00:01:533,0.022,-0.631,0.803,-12.085,14.343,-30.152,
00:00:01:550,0.021,-0.631,0.801,-12.94,15.136,-30.457,
00:00:01:566,0.02,-0.631,0.802,-16.663,14.465,-30.091,
00:00:01:583,0.022,-0.629,0.805,-20.386,13.855,-30.762,
00:00:01:600,0.021,-0.623,0.804,-17.579,11.169,-31.189,
00:00:01:616,0.022,-0.622,0.806,-11.536,16.052,-32.593,
00:00:01:633,0.021,-0.625,0.803,-7.996,13.916,-34.058,
00:00:01:650,0.023,-0.63,0.805,-10.621,16.296,-36.377,
00:00:01:666,0.022,-0.63,0.803,-8.973,20.324,-38.453,
00:00:01:683,0.022,-0.633,0.806,-10.621,13.488,-38.758,
00:00:01:700,0.019,-0.631,0.807,-14.161,13.61,-38.88,
00:00:01:716,0.021,-0.629,0.805,-10.376,13.671,-41.504,
00:00:01:733,0.021,-0.629,0.805,-8.973,13.794,-40.162,
00:00:01:750,0.021,-0.632,0.802,-12.696,9.887,-39.856,
00:00:01:766,0.021,-0.633,0.802,-16.236,12.634,-35.889,
00:00:01:783,0.019,-0.628,0.806,-17.518,10.681,-36.377,
00:00:01:800,0.018,-0.655,0.804,-13.123,12.329,-36.56,
00:00:01:816,0.018,-0.629,0.803,-12.33,12.634,-37.842,
00:00:01:833,0.017,-0.63,0.801,-12.452,13.549,-40.345,
00:00:01:850,0.017,-0.631,0.803,-13.672,11.657,-40.467,
00:00:01:866,0.02,-0.632,0.802,-16.053,15.258,-38.514,
00:00:01:883,0.02,-0.632,0.806,-19.959,12.451,-37.232,
00:00:01:900,0.02,-0.63,0.805,-21.668,12.268,-41.687,
00:00:01:916,0.018,-0.629,0.811,-16.663,13.061,-39.856,
00:00:01:933,0.017,-0.627,0.804,-17.212,12.878,-40.833,
00:00:01:950,0.02,-0.629,0.804,-14.832,14.77,-39.002,
00:00:01:966,0.016,-0.63,0.802,-14.771,12.512,-37.293,
00:00:01:983,0.017,-0.63,0.803,-16.602,16.54,-34.913,
00:00:02:0,0.018,-0.629,0.804,-16.236,11.352,-34.913,
00:00:02:16,0.018,-0.627,0.806,-16.724,13.488,-31.8,
00:00:02:33,0.019,-0.628,0.809,-11.048,12.878,-30.213,
00:00:02:50,0.016,-0.63,0.803,-11.719,14.404,-30.884,
00:00:02:66,0.016,-0.632,0.802,-13.428,13.427,-31.128,
00:00:02:83,0.017,-0.632,0.803,-15.32,12.817,-28.504,
00:00:02:100,0.019,-0.63,0.804,-14.283,13.244,-30.762,
00:00:02:116,0.017,-0.625,0.804,-16.846,9.826,-31.373,
00:00:02:133,0.017,-0.626,0.809,-12.513,11.962,-30.945,
00:00:02:150,0.02,-0.633,0.809,-9.217,10.376,-29.847,
00:00:02:166,0.019,-0.633,0.801,-12.024,7.812,-31.922,
00:00:02:183,0.02,-0.631,0.804,-17.273,9.277,-29.114,
00:00:02:200,0.021,-0.628,0.802,-15.686,10.986,-29.786,
00:00:02:216,0.018,-0.631,0.803,-16.297,8.544,-27.832,
00:00:02:233,0.017,-0.629,0.809,-14.588,10.498,-27.894,
00:00:02:250,0.017,-0.629,0.805,-18.128,8.85,-27.039,
00:00:02:266,0.015,-0.63,0.802,-19.227,8.239,-26.123,
00:00:02:283,0.018,-0.597,0.807,-21.424,10.803,-27.955,
00:00:02:300,0.017,-0.625,0.804,-18.372,8.544,-26.429,
00:00:02:316,0.018,-0.594,0.805,-17.334,10.253,-27.1,
00:00:02:333,0.02,-0.627,0.806,-13.245,10.437,-28.382,
00:00:02:350,0.018,-0.626,0.802,-13.367,12.329,-29.175,
00:00:02:366,0.017,-0.626,0.807,-13.062,11.291,-29.358,
00:00:02:383,0.017,-0.626,0.803,-13.733,7.69,-30.64,
00:00:02:400,0.016,-0.628,0.804,-11.048,11.657,-29.541,
00:00:02:416,0.018,-0.627,0.804,-10.071,10.925,-27.71,
00:00:02:433,0.017,-0.627,0.806,-8.423,10.192,-25.757,
00:00:02:450,0.018,-0.629,0.806,-9.278,9.643,-25.818,
00:00:02:466,0.019,-0.628,0.802,-7.935,12.207,-24.537,
00:00:02:483,0.016,-0.628,0.803,-9.278,13.977,-25.208,
00:00:02:500,0.018,-0.632,0.803,-8.118,11.474,-26.246,
00:00:02:516,0.02,-0.631,0.801,-11.231,11.291,-26.673,
00:00:02:533,0.017,-0.632,0.801,-13.367,12.023,-28.87,
00:00:02:550,0.018,-0.627,0.804,-30.64,10.864,-31.922,
00:00:02:566,0.018,-0.629,0.807,-13.245,12.39,-30.518,
00:00:02:583,0.023,-0.631,0.799,-11.841,12.573,-33.02,
00:00:02:600,0.02,-0.632,0.803,-14.71,13.977,-33.448,
00:00:02:616,0.018,-0.632,0.8,-15.748,12.146,-34.913,
00:00:02:633,0.019,-0.632,0.802,-11.597,13.427,-30.701,
00:00:02:650,0.019,-0.631,0.807,-13.184,12.939,-30.64,
00:00:02:666,0.023,-0.632,0.801,-15.259,11.657,-30.884,
00:00:02:683,0.018,-0.628,0.807,-14.771,11.352,-30.152,
00:00:02:700,0.017,-0.629,0.8,-13.245,12.39,-28.687,
00:00:02:716,0.018,-0.629,0.802,-9.095,15.075,-28.626,
00:00:02:733,0.02,-0.631,0.801,-8.24,11.352,-29.297,
00:00:02:750,0.019,-0.632,0.8,-10.987,14.831,-28.26,
00:00:02:766,0.016,-0.63,0.806,-9.888,13.061,-28.565,
00:00:02:783,0.019,-0.629,0.802,-11.658,13.916,-27.344,
00:00:02:800,0.019,-0.63,0.805,-9.278,16.662,-26.001,
00:00:02:816,0.018,-0.629,0.802,7.934,12.939,-11.292,
00:00:02:833,0.022,-0.619,0.815,12.756,9.643,-6.653,
00:00:02:850,0.013,-0.589,0.838,42.114,20.568,-7.813,
00:00:02:866,0.037,-0.562,0.881,44.616,12.634,-24.17,
00:00:02:883,0.047,-0.496,0.927,115.844,-58.96,-67.81,
00:00:02:900,0.099,-0.446,1.047,274.78,-239.93,-234.192,
00:00:02:916,0.252,-0.486,1.184,810.852,-317.872,-336.243,
