TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.875,0.306,0.307,1.22,4.272,-22.644,
00:00:00:16,0.875,0.3,0.309,4.882,6.897,-25.147,
00:00:00:33,0.877,0.297,0.31,1.709,8.239,-23.255,
00:00:00:50,0.878,0.296,0.315,-4.212,4.638,-24.476,
00:00:00:66,0.878,0.301,0.312,-5.86,8.3,-21.607,
00:00:00:83,0.88,0.303,0.31,-5.372,5.493,-21.912,
00:00:00:100,0.88,0.303,0.309,-3.724,2.014,-20.447,
00:00:00:116,0.878,0.303,0.31,-1.831,3.601,-21.424,
00:00:00:133,0.874,0.308,0.311,10.315,6.897,-21.851,
00:00:00:150,0.873,0.291,0.31,3.234,3.234,-22.461,
00:00:00:166,0.874,0.305,0.309,-9.888,3.479,-20.813,
00:00:00:183,0.878,0.309,0.311,-0.55,5.188,-22.034,
00:00:00:200,0.874,0.304,0.316,3.662,2.258,-21.241,
00:00:00:216,0.874,0.301,0.311,1.586,8.178,-23.865,
00:00:00:233,0.881,0.303,0.315,2.868,10.62,-23.682,
00:00:00:250,0.874,0.313,0.312,9.277,10.681,-23.987,
00:00:00:266,0.88,0.303,0.317,17.517,12.451,-24.292,
00:00:00:283,0.878,0.298,0.315,12.756,9.094,-22.461,
00:00:00:300,0.873,0.298,0.316,6.897,7.934,-21.302,
00:00:00:316,0.871,0.298,0.311,-2.198,12.573,-22.156,
00:00:00:333,0.875,0.304,0.311,-3.357,13.732,-21.241,
00:00:00:350,0.876,0.308,0.308,1.525,13.671,-22.706,
00:00:00:366,0.879,0.305,0.308,2.99,11.657,-23.011,
00:00:00:383,0.874,0.304,0.307,2.197,7.202,-22.156,
00:00:00:400,0.871,0.307,0.307,3.662,10.742,-22.217,
00:00:00:416,0.875,0.31,0.312,4.333,16.113,-23.316,
00:00:00:433,0.882,0.307,0.313,3.356,13.122,-21.851,
00:00:00:450,0.877,0.312,0.319,6.958,5.31,-21.729,
00:00:00:466,0.873,0.308,0.32,11.596,5.676,-20.997,
00:00:00:483,0.872,0.3,0.313,11.657,9.094,-23.804,
00:00:00:500,0.873,0.302,0.313,4.638,10.376,-22.644,
00:00:00:516,0.874,0.304,0.312,5.92,10.192,-24.231,
00:00:00:533,0.876,0.305,0.313,9.582,7.629,-21.79,
00:00:00:550,0.872,0.311,0.311,14.892,8.361,-20.264,
00:00:00:566,0.873,0.302,0.309,20.08,12.451,-25.33,
00:00:00:583,0.872,0.297,0.304,16.357,13.549,-24.476,
00:00:00:600,0.87,0.307,0.308,7.995,14.038,-21.546,
00:00:00:616,0.874,0.309,0.307,10.498,17.334,-23.865,
00:00:00:633,0.877,0.31,0.314,13.305,15.014,-20.997,
00:00:00:650,0.876,0.31,0.319,18.676,13.977,-21.973,
00:00:00:666,0.877,0.306,0.314,21.362,11.718,-21.546,
00:00:00:683,0.877,0.303,0.311,20.629,10.986,-22.156,
00:00:00:700,0.876,0.3,0.309,19.47,11.413,-21.973,
00:00:00:716,0.879,0.301,0.303,15.258,13.244,-20.997,
00:00:00:733,0.878,0.306,0.306,7.507,9.094,-22.217,
00:00:00:750,0.88,0.301,0.31,12.695,6.469,-21.485,
00:00:00:766,0.878,0.302,0.304,16.235,5.92,-20.508,
00:00:00:783,0.874,0.298,0.308,16.052,9.277,-21.973,
00:00:00:800,0.882,0.299,0.307,10.559,12.085,-20.142,
00:00:00:816,0.878,0.299,0.308,6.53,8.544,-19.104,
00:00:00:833,0.874,0.301,0.313,5.493,7.202,-19.41,
00:00:00:850,0.876,0.299,0.312,3.967,10.131,-21.119,
00:00:00:866,0.88,0.299,0.307,4.76,11.901,-22.4,
00:00:00:883,0.874,0.305,0.307,6.836,10.62,-22.767,
00:00:00:900,0.875,0.306,0.313,13.977,11.901,-22.828,
00:00:00:916,0.873,0.303,0.305,17.028,11.047,-22.095,
00:00:00:933,0.884,0.287,0.304,3.967,5.737,-24.537,
00:00:00:950,0.874,0.306,0.305,-1.099,8.361,-23.194,
00:00:00:966,0.905,0.308,0.308,6.164,10.803,-22.95,
00:00:00:983,0.88,0.303,0.309,7.629,9.277,-21.058,
00:00:01:0,0.874,0.301,0.309,8.361,6.897,-19.165,
00:00:01:16,0.86,0.311,0.31,19.226,26.489,-23.194,
00:00:01:33,0.874,0.291,0.315,7.019,12.939,-25.696,
00:00:01:50,0.873,0.31,0.317,0.061,15.136,-21.241,
00:00:01:66,0.878,0.31,0.316,3.418,11.413,-22.4,
00:00:01:83,0.877,0.303,0.314,7.202,8.911,-23.011,
00:00:01:100,0.871,0.302,0.313,2.075,4.882,-19.654,
00:00:01:116,0.87,0.307,0.312,0.061,9.338,-19.165,
00:00:01:133,0.874,0.31,0.307,2.685,7.873,-20.935,
00:00:01:150,0.875,0.304,0.306,3.723,4.516,-23.194,
00:00:01:166,0.872,0.305,0.303,-0.245,3.784,-22.4,
00:00:01:183,0.874,0.307,0.31,3.051,4.882,-21.18,
00:00:01:200,0.873,0.307,0.307,7.812,6.774,-21.668,
00:00:01:216,0.873,0.302,0.309,8.544,8.056,-21.973,
00:00:01:233,0.877,0.3,0.312,7.263,9.094,-23.316,
00:00:01:250,0.876,0.294,0.314,-0.977,11.047,-24.414,
00:00:01:266,0.878,0.299,0.313,-5.677,11.596,-24.72,
00:00:01:283,0.883,0.303,0.315,-7.752,8.667,-24.17,
00:00:01:300,0.88,0.308,0.311,-8.24,5.615,-23.987,
00:00:01:316,0.878,0.308,0.311,-5.188,5.737,-22.583,
00:00:01:333,0.873,0.307,0.304,-0.306,9.094,-22.217,
00:00:01:350,0.87,0.303,0.309,7.019,9.033,-23.133,
00:00:01:366,0.873,0.304,0.31,4.821,10.559,-22.644,
00:00:01:383,0.874,0.306,0.308,3.356,11.047,-24.231,
00:00:01:400,0.905,0.307,0.31,5.981,11.108,-24.537,
00:00:01:416,0.878,0.305,0.311,9.887,9.094,-25.513,
00:00:01:433,0.877,0.303,0.307,4.882,9.216,-24.048,
00:00:01:450,0.882,0.298,0.315,0.61,8.544,-25.452,
00:00:01:466,0.879,0.302,0.282,-7.691,8.056,-24.292,
00:00:01:483,0.88,0.304,0.311,-8.484,8.911,-24.476,
00:00:01:500,0.877,0.302,0.308,-8.851,4.943,-25.879,
00:00:01:516,0.872,0.302,0.308,-10.743,6.347,-26.185,
00:00:01:533,0.876,0.303,0.309,-11.109,7.324,-26.001,
00:00:01:550,0.88,0.306,0.308,-9.278,8.178,-27.283,
00:00:01:566,0.879,0.308,0.312,-4.029,5.554,-26.185,
00:00:01:583,0.874,0.307,0.311,1.831,3.479,-25.33,
00:00:01:600,0.874,0.296,0.307,3.356,6.469,-27.527,
00:00:01:616,0.889,0.298,0.307,-16.968,3.906,-27.649,
00:00:01:633,0.877,0.309,0.31,-19.715,0.976,-25.208,
00:00:01:650,0.871,0.313,0.314,-9.644,2.624,-26.612,
00:00:01:666,0.874,0.313,0.312,3.173,4.394,-24.292,
00:00:01:683,0.874,0.303,0.315,6.774,2.075,-25.147,
00:00:01:700,0.873,0.298,0.312,3.967,5.065,-26.368,
00:00:01:716,0.871,0.3,0.312,-4.151,7.568,-26.429,
00:00:01:733,0.873,0.304,0.309,-5.188,8.3,-26.795,
00:00:01:750,0.904,0.312,0.311,-2.625,12.023,-24.476,
00:00:01:766,0.877,0.314,0.31,5.92,13.122,-25.33,
00:00:01:783,0.877,0.306,0.31,12.085,7.202,-24.353,
00:00:01:800,0.876,0.306,0.307,12.695,8.178,-25.635,
00:00:01:816,0.871,0.299,0.305,12.268,10.498,-25.94,
00:00:01:833,0.877,0.3,0.306,2.136,7.08,-23.499,
00:00:01:850,0.876,0.302,0.339,0.427,7.263,-24.537,
00:00:01:866,0.878,0.307,0.308,1.098,10.192,-24.292,
00:00:01:883,0.877,0.307,0.309,2.929,9.643,-23.011,
00:00:01:900,0.877,0.304,0.308,5.859,8.117,-22.706,
00:00:01:916,0.877,0.297,0.311,6.408,7.934,-22.95,
00:00:01:933,0.878,0.3,0.314,5.065,10.498,-23.865,
00:00:01:950,0.881,0.3,0.306,3.051,10.925,-25.696,
00:00:01:966,0.875,0.303,0.305,-0.916,9.338,-26.307,
00:00:01:983,0.875,0.307,0.306,0.061,13.488,-23.926,
00:00:02:0,0.878,0.307,0.305,4.699,13.244,-23.743,
00:00:02:16,0.878,0.307,0.306,7.751,12.329,-23.682,
00:00:02:33,0.878,0.302,0.308,10.986,10.925,-23.682,
00:00:02:50,0.878,0.299,0.309,12.207,12.878,-25.452,
00:00:02:66,0.877,0.297,0.308,6.591,12.695,-24.903,
00:00:02:83,0.878,0.301,0.308,1.648,13.855,-23.743,
00:00:02:100,0.878,0.307,0.308,4.699,13.549,-23.377,
00:00:02:116,0.881,0.307,0.305,7.019,13,-23.133,
00:00:02:133,0.882,0.3,0.301,11.169,11.352,-22.217,
00:00:02:150,0.878,0.296,0.303,9.338,12.268,-22.95,
00:00:02:166,0.875,0.297,0.308,5.676,13.122,-22.156,
00:00:02:183,0.878,0.302,0.305,3.54,13.488,-21.119,
00:00:02:200,0.882,0.3,0.304,4.882,11.84,-22.156,
00:00:02:216,0.881,0.303,0.305,4.15,8.972,-23.56,
00:00:02:233,0.876,0.304,0.302,5.493,11.352,-23.499,
00:00:02:250,0.879,0.301,0.304,3.784,10.315,-22.95,
00:00:02:266,0.877,0.301,0.304,3.295,9.46,-22.095,
00:00:02:283,0.877,0.304,0.308,3.723,10.253,-23.011,
00:00:02:300,0.879,0.302,0.306,6.53,7.263,-23.316,
00:00:02:316,0.88,0.299,0.303,9.887,10.253,-23.133,
00:00:02:333,0.875,0.297,0.302,3.356,11.23,-23.804,
00:00:02:350,0.878,0.303,0.301,-2.381,11.84,-23.804,
00:00:02:366,0.881,0.305,0.304,0.915,11.291,-23.377,
00:00:02:383,0.877,0.309,0.308,6.713,10.253,-23.438,
00:00:02:400,0.881,0.306,0.309,12.329,8.85,-23.56,
00:00:02:416,0.877,0.299,0.307,13,9.338,-23.621,
00:00:02:433,0.877,0.3,0.304,9.338,11.596,-24.964,
00:00:02:450,0.883,0.302,0.311,7.202,10.253,-23.987,
00:00:02:466,0.883,0.305,0.309,8.239,5.554,-22.095,
00:00:02:483,0.877,0.299,0.3,4.455,7.141,-23.56,
00:00:02:500,0.881,0.296,0.294,-2.564,7.995,-23.987,
00:00:02:516,0.884,0.303,0.294,-5.127,7.263,-23.865,
00:00:02:533,0.878,0.311,0.298,-2.747,5.859,-24.659,
00:00:02:550,0.875,0.311,0.302,2.807,8.3,-24.964,
00:00:02:566,0.879,0.31,0.304,13.488,11.596,-24.537,
00:00:02:583,0.876,0.301,0.308,20.935,9.277,-24.598,
00:00:02:600,0.872,0.293,0.311,18.493,12.573,-24.048,
00:00:02:616,0.878,0.294,0.312,8.728,14.343,-23.926,
00:00:02:633,0.88,0.299,0.304,5.432,13.183,-22.583,
00:00:02:650,0.88,0.306,0.309,9.216,10.192,-21.424,
00:00:02:666,0.875,0.308,0.308,10.986,11.23,-20.02,
00:00:02:683,0.88,0.302,0.304,11.474,13.305,-21.79,
00:00:02:700,0.88,0.303,0.304,8.911,8.361,-19.654,
00:00:02:716,0.877,0.304,0.302,11.779,7.019,-19.837,
00:00:02:733,0.876,0.3,0.302,10.803,9.643,-21.485,
00:00:02:750,0.881,0.301,0.306,7.202,10.253,-20.997,
00:00:02:766,0.879,0.305,0.302,5.615,9.765,-20.813,
00:00:02:783,0.883,0.307,0.302,8.667,8.911,-20.447,
00:00:02:800,0.881,0.309,0.303,16.662,5.798,-19.776,
00:00:02:816,0.875,0.296,0.305,21.118,10.376,-21.241,
00:00:02:833,0.875,0.294,0.307,15.747,16.357,-21.485,
