TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:49:634,-0.331,0.818,0.376,278.381,93.2,-1.648,
00:00:49:650,-0.347,0.831,0.423,283.203,85.327,-2.442,
00:00:49:667,-0.352,0.844,0.447,288.574,94.116,-8.057,
00:00:49:684,-0.351,0.815,0.424,298.95,104.675,-7.935,
00:00:49:700,-0.347,0.825,0.432,335.51,103.515,0.549,
00:00:49:717,-0.337,0.821,0.455,368.591,106.933,10.131,
00:00:49:734,-0.331,0.821,0.471,392.334,109.375,13.549,
00:00:49:750,-0.328,0.783,0.489,398.62,105.896,16.967,
00:00:49:767,-0.324,0.763,0.49,358.398,98.632,14.16,
00:00:49:784,-0.317,0.732,0.518,307.434,82.153,10.681,
00:00:49:800,-0.317,0.758,0.535,292.419,77.209,8.667,
00:00:49:817,-0.32,0.735,0.566,271.118,75.439,1.953,
00:00:49:834,-0.332,0.727,0.54,210.693,81.787,-4.822,
00:00:49:850,-0.335,0.74,0.533,177.368,83.618,-5.86,
00:00:49:867,-0.321,0.731,0.537,160.644,79.406,-5.799,
00:00:49:884,-0.328,0.72,0.566,145.324,75.317,-1.099,
00:00:49:900,-0.336,0.749,0.579,141.601,81.176,2.014,
00:00:49:917,-0.336,0.751,0.569,150.39,96.557,1.709,
00:00:49:934,-0.329,0.744,0.553,168.762,99.853,7.019,
00:00:49:950,-0.316,0.736,0.561,178.161,91.064,5.981,
00:00:49:967,-0.309,0.732,0.599,171.875,83.129,-2.137,
00:00:49:984,-0.303,0.755,0.602,192.138,78.247,-14.71,
00:00:50:1,-0.313,0.743,0.61,216.43,67.627,-25.391,
00:00:50:17,-0.31,0.72,0.604,219.299,56.518,-32.776,
00:00:50:34,-0.306,0.732,0.607,222.229,37.109,-33.265,
00:00:50:51,-0.33,0.715,0.671,242.859,21.362,-16.48,
00:00:50:67,-0.314,0.709,0.674,292.419,22.583,-12.024,pourRH
00:00:50:84,-0.32,0.674,0.667,311.645,20.263,-0.611,
