TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:01:04:567,0.655,-0.24,0.867,1999.694,-670.166,-374.024,
00:01:04:584,0.613,-0.277,1.247,1999.694,-453.431,-386.963,
00:01:04:601,0.582,-0.342,1.392,1486.572,-82.947,-369.202,
00:01:04:617,0.609,-0.437,1.204,382.812,237.732,-423.584,
00:01:04:634,0.606,-0.295,0.929,-576.6,442.016,-275.513,
00:01:04:651,0.601,-0.078,0.626,-985.352,644.714,-93.873,
00:01:04:667,0.661,0.026,0.462,-1092.225,719.665,105.468,
00:01:04:684,0.735,0.124,0.409,-1198.243,622.192,302.49,
00:01:04:701,0.71,0.193,0.472,-1304.932,404.602,372.863,
00:01:04:717,0.618,0.253,0.598,-1317.261,251.464,391.906,
00:01:04:734,0.578,0.366,0.654,-1192.872,219.299,407.959,
00:01:04:751,0.554,0.393,0.606,-951.661,197.815,392.639,
00:01:04:767,0.568,0.317,0.511,-752.747,123.169,364.013,
00:01:04:784,0.64,0.348,0.417,-758.057,-36.499,310.119,
00:01:04:801,0.684,0.563,0.395,-574.28,-275.086,132.141,
00:01:04:817,0.675,0.701,0.455,-22.339,-472.718,19.897,
00:01:04:834,0.667,0.674,0.59,850.708,-624.268,-98.999,
00:01:04:851,0.585,0.39,0.759,1722.778,-667.847,-224.732,
00:01:04:867,0.567,0.162,0.846,1999.694,-534.79,-291.748,
00:01:04:884,0.587,-0.051,1.029,1999.694,-350.647,-342.408,
00:01:04:901,0.665,-0.193,1.176,1622.924,-92.408,-398.133,
00:01:04:917,0.593,-0.486,1.131,668.884,216.125,-367.981,
00:01:04:934,0.576,-0.452,0.881,-388.55,482.605,-236.817,
00:01:04:951,0.599,-0.324,0.543,-1154.114,693.42,-44.19,
00:01:04:967,0.687,-0.147,0.359,-1557.557,758.422,199.524,
00:01:04:984,0.764,0.128,0.273,-1871.46,662.414,404.113,
00:01:05:1,0.786,0.319,0.287,-1975.098,481.628,459.289,
00:01:05:17,0.783,0.715,0.235,-1832.398,299.255,426.147,
00:01:05:34,0.817,1.266,0.191,-1065.43,55.542,319.397,
00:01:05:51,0.739,1.323,0.33,351.623,-312.195,127.258,
00:01:05:67,0.573,0.613,0.599,1670.105,-561.097,-61.829,
00:01:05:84,0.523,0.023,0.774,1999.694,-622.925,-249.451,
00:01:05:101,0.532,-0.323,0.935,1999.694,-607.85,-324.769,
00:01:05:117,0.546,-0.41,1.052,1534.668,-460.511,-301.636,
00:01:05:134,0.576,-0.248,1.166,849.182,-271.18,-301.392,
00:01:05:151,0.569,-0.082,1.157,277.282,4.333,-259.156,
00:01:05:167,0.568,0.002,1.034,-202.515,266.296,-268.555,
00:01:05:184,0.587,0.072,0.741,-534.729,513.794,-216.919,
00:01:05:201,0.703,0.059,0.418,-743.775,722.046,225.769,
00:01:05:217,0.741,0.107,0.401,-932.007,630.493,376.892,
00:01:05:234,0.754,0.163,0.419,-1077.454,470.947,460.876,
00:01:05:251,0.794,0.34,0.355,-1347.168,259.399,512.878,
00:01:05:267,0.793,0.738,0.268,-1263.367,-27.832,325.561,
00:01:05:284,0.753,1.078,0.411,-434.449,-366.517,209.289,
00:01:05:301,0.614,0.905,0.621,835.51,-609.436,62.255,
00:01:05:317,0.483,0.365,0.737,1743.286,-652.71,-147.034,
00:01:05:334,0.48,-0.049,0.876,1961.364,-588.501,-263.306,
00:01:05:351,0.502,-0.243,1.002,1754.455,-456.665,-308.045,
00:01:05:367,0.527,-0.286,1.121,1157.653,-238.465,-343.079,
00:01:05:384,0.535,-0.26,1.07,440.49,29.174,-363.587,
00:01:05:401,0.549,-0.233,0.929,-212.708,281.433,-309.388,
00:01:05:417,0.578,-0.173,0.713,-708.069,486.572,-191.651,
00:01:05:434,0.764,0.129,0.422,-1476.685,637.878,435.241,
00:01:05:451,0.835,0.402,0.323,-1633.423,472.839,498.779,
00:01:05:467,0.893,0.763,0.279,-1619.996,150.146,405.029,
00:01:05:484,0.836,1.116,0.235,-960.755,-143.86,229.431,
00:01:05:501,0.703,1.197,0.415,337.707,-432.251,166.626,
00:01:05:517,0.494,-0.197,0.947,1970.276,-612.305,-287.293,
00:01:05:534,0.547,-0.275,1.056,1529.235,-462.464,-274.781,
00:01:05:551,0.554,-0.281,1.195,914.306,-257.019,-275.879,
00:01:05:567,0.539,-0.254,1.115,228.576,17.944,-258.301,
00:01:05:584,0.539,-0.224,0.904,-477.112,285.461,-215.943,
00:01:05:601,0.676,0.14,0.322,-1283.57,679.077,288.452,
00:01:05:617,0.8,0.327,0.25,-1466.187,509.643,350.647,
00:01:05:634,0.89,0.616,0.197,-1375.855,203.247,260.315,
00:01:05:651,0.885,1.07,0.23,-712.952,-135.254,187.317,
00:01:05:667,0.525,0.089,0.954,1999.694,-500.428,-230.408,
00:01:05:684,0.552,-0.194,1.1,1998.047,-414.185,-265.32,
00:01:05:701,0.529,-0.345,1.224,1321.228,-172.364,-279.847,
00:01:05:717,0.496,-0.43,1.079,418.213,89.111,-303.467,
00:01:05:734,0.517,-0.338,0.869,-389.161,313.781,-236.695,
00:01:05:751,0.601,-0.189,0.426,-1231.202,662.536,74.89,
00:01:05:767,0.699,-0.019,0.321,-1433.655,698.059,299.316,
00:01:05:784,0.845,0.249,0.247,-1680.726,524.17,417.724,
00:01:05:801,0.937,0.576,0.218,-1717.286,163.452,369.567,
