TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:31:367,0.308,-0.62,0.738,178.527,93.811,-6.958,
00:00:31:383,0.276,-0.71,0.773,202.209,50.781,-28.199,
00:00:31:400,0.346,-0.601,0.598,123.657,24.78,-95.215,
00:00:31:417,0.342,-0.509,0.778,202.453,22.522,-88.99,
00:00:31:433,0.29,-0.488,0.717,447.692,53.894,-61.829,
00:00:31:450,0.431,-0.778,0.611,585.266,105.468,-76.844,
00:00:31:467,0.479,-1.024,0.556,384.948,55.053,-110.962,
00:00:31:483,0.471,-0.876,0.618,130.798,-64.881,-97.168,
00:00:31:500,0.387,-0.698,0.628,57.006,-66.59,-145.264,
00:00:31:517,0.407,-0.715,0.565,156.494,-70.008,-260.498,
00:00:31:533,0.356,-0.82,0.523,167.236,-75.44,-327.149,
00:00:31:550,0.342,-0.824,0.562,86.425,-80.75,-333.008,
00:00:31:567,0.245,-0.774,0.699,10.009,-45.838,-305.787,
00:00:31:583,0.122,-0.709,0.525,218.994,117.065,-132.019,
00:00:31:600,0.16,-0.815,0.485,184.753,84.655,-128.479,
00:00:31:617,0.165,-0.849,0.465,94.848,-3.846,-115.418,
00:00:31:633,0.129,-0.796,0.526,-10.315,-89.356,-105.835,
00:00:31:650,0.114,-0.786,0.595,-50.538,-145.386,-100.892,
00:00:31:667,0.081,-0.761,0.639,-46.875,-144.104,-86.182,
00:00:31:683,0.083,-0.739,0.613,10.253,-107.605,-69.092,
00:00:31:700,0.113,-0.744,0.546,65.307,-88.257,-62.256,
00:00:31:717,0.148,-0.765,0.522,75.256,-97.596,-63.111,
00:00:31:733,0.176,-0.852,0.576,20.752,-99.122,-70.862,
00:00:31:750,0.208,-0.834,0.613,-67.2,-104.493,-39.185,
00:00:31:767,0.213,-0.838,0.655,-87.098,-77.576,-31.373,
00:00:31:783,0.223,-0.774,0.615,-39.795,-44.556,-11.658,
00:00:31:800,0.255,-0.766,0.542,43.884,-36.133,-8.728,
00:00:31:817,0.263,-0.82,0.522,67.321,-60.486,-21.729,
00:00:31:833,0.262,-0.831,0.551,25.634,-62.5,-27.955,
00:00:31:850,0.262,-0.866,0.593,-25.94,-73.243,-35.828,
00:00:31:867,0.238,-0.817,0.625,-35.401,-45.35,-22.278,
00:00:31:883,0.241,-0.754,0.584,24.658,-1.282,-0.367,
00:00:31:900,0.24,-0.771,0.545,77.575,13.794,-2.747,
00:00:31:917,0.245,-0.788,0.551,76.904,23.986,-2.442,
00:00:31:933,0.243,-0.802,0.551,53.283,13.671,-0.428,
00:00:31:950,0.225,-0.848,0.592,9.033,0.61,-7.325,
00:00:31:967,0.199,-0.816,0.606,-17.151,5.554,-3.113,
00:00:31:983,0.188,-0.79,0.585,5.249,31.005,-5.249,
00:00:32:0,0.194,-0.792,0.573,51.574,44.982,-11.353,
00:00:32:17,0.207,-0.809,0.561,70.922,37.475,-18.921,
00:00:32:33,0.233,-0.846,0.532,37.109,21.118,-28.382,
00:00:32:50,0.227,-0.85,0.577,-23.499,2.319,-38.392,
00:00:32:67,0.223,-0.791,0.598,-41.138,0.732,-40.894,
00:00:32:83,0.228,-0.768,0.605,-0.794,10.07,-35.828,
00:00:32:100,0.232,-0.784,0.589,31.189,14.16,-31.8,
00:00:32:117,0.244,-0.799,0.562,24.658,2.807,-28.077,
00:00:32:133,0.229,-0.812,0.576,2.319,-2.564,-28.87,
00:00:32:150,0.235,-0.788,0.588,-13.794,-1.16,-28.931,
00:00:32:167,0.234,-0.797,0.614,0.305,5.249,-27.466,
00:00:32:183,0.225,-0.809,0.54,24.414,8.606,-29.358,
00:00:32:200,0.218,-0.823,0.563,10.498,-1.16,-40.284,
00:00:32:217,0.205,-0.811,0.602,-9.949,-8.24,-50.66,
00:00:32:233,0.178,-0.795,0.599,-4.273,2.563,-48.218,
00:00:32:250,0.168,-0.78,0.539,24.78,21.24,-54.505,
00:00:32:267,0.147,-0.799,0.554,21.24,21.24,-63.294,
00:00:32:283,0.151,-0.828,0.594,5.737,10.925,-65.186,
00:00:32:300,0.145,-0.854,0.598,-29.908,-2.32,-69.458,
00:00:32:317,0.12,-0.768,0.588,-15.137,2.685,-92.408,
00:00:32:333,0.149,-0.79,0.592,20.507,14.77,-120.667,
00:00:32:350,0.178,-0.83,0.583,30.578,-10.56,-131.531,
00:00:32:367,0.179,-0.861,0.543,-17.151,-59.754,-145.264,
00:00:32:383,0.137,-0.839,0.556,-106.751,-66.651,-165.039,
00:00:32:400,0.123,-0.758,0.561,-114.563,-10.193,-154.48,
00:00:32:417,0.216,-0.81,0.477,4.272,114.196,-117.066,cutLH
00:00:32:433,0.211,-0.778,0.514,-19.715,101.989,-106.629,
00:00:32:450,0.224,-0.72,0.631,-12.94,106.262,-55.603,
00:00:32:467,0.246,-0.736,0.692,-15.32,105.224,54.321,
00:00:32:483,0.301,-0.768,0.67,-55.237,82.946,139.709,
00:00:32:500,0.349,-0.715,0.619,-86.976,51.513,173.828,
