TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:01:01:167,-0.38,1.006,0.286,-542.664,145.446,117.004,
00:01:01:184,-0.414,0.898,0.317,-496.827,380.188,113.281,
00:01:01:201,-0.39,0.791,0.3,-451.905,574.218,119.934,
00:01:01:217,-0.229,0.856,0.344,-319.275,647.461,154.052,
00:01:01:234,-0.026,0.861,0.414,-58.289,605.163,165.832,
00:01:01:251,0.162,0.806,0.548,141.845,477.05,105.163,
00:01:01:267,0.321,0.653,0.78,250.549,301.33,-10.743,
00:01:01:284,0.402,0.575,0.892,374.389,140.93,-89.844,
00:01:01:301,0.514,0.539,0.882,421.569,6.713,-204.468,
00:01:01:317,0.593,0.558,0.822,511.779,-160.401,-233.338,
00:01:01:334,0.596,0.655,0.807,571.655,-335.267,-226.014,
00:01:01:351,0.537,0.682,0.816,571.167,-451.905,-238.16,
00:01:01:367,0.457,0.765,0.747,445.984,-525.757,-213.562,
00:01:01:384,0.359,0.843,0.678,323.852,-594.056,-151.856,
00:01:01:401,0.145,0.782,0.564,167.907,-601.502,-95.581,
00:01:01:417,-0.044,0.772,0.463,-168.396,-546.021,-20.935,
00:01:01:434,-0.27,0.84,0.415,-589.051,-331.238,54.87,
00:01:01:451,-0.382,1.03,0.419,-713.99,-35.218,140.197,
00:01:01:467,-0.409,1.042,0.401,-657.41,285.766,186.462,
00:01:01:484,-0.431,0.913,0.382,-643.189,557.983,141.601,
00:01:01:501,-0.362,0.708,0.33,-584.046,712.524,98.999,
00:01:01:517,-0.174,0.677,0.292,-414.368,735.351,104.797,
00:01:01:534,0.042,0.837,0.395,-150.208,588.501,86.608,
00:01:01:551,0.225,0.729,0.62,106.628,360.046,-24.17,
00:01:01:567,0.299,0.636,0.82,264.343,164.611,-90.516,
00:01:01:584,0.339,0.666,0.864,355.468,51.879,-180.42,
00:01:01:601,0.419,0.666,0.771,477.539,-40.223,-256.043,
00:01:01:617,0.54,0.752,0.735,630.188,-212.098,-241.883,
00:01:01:634,0.549,0.807,0.76,829.223,-402.161,-152.405,
00:01:01:651,0.4,0.683,0.807,668.029,-498.169,-158.081,
00:01:01:667,0.32,0.619,0.779,275.817,-543.519,-150.269,
00:01:01:684,0.189,0.677,0.645,-141.968,-496.521,-78.98,
00:01:01:701,0.058,0.844,0.485,-438.538,-392.456,-9.156,
00:01:01:717,-0.127,0.902,0.376,-620.24,-253.602,72.815,
00:01:01:734,-0.272,0.927,0.388,-659.852,-13.672,149.231,
00:01:01:751,-0.272,0.917,0.43,-628.724,241.455,171.63,
00:01:01:767,-0.299,0.857,0.374,-615.479,501.098,128.662,
00:01:01:784,-0.229,0.797,0.304,-482.911,632.019,90.82,
00:01:01:801,-0.073,0.864,0.238,-195.374,609.497,61.218,
00:01:01:817,0.107,0.914,0.406,86.914,433.593,23.01,
00:01:01:834,0.164,0.723,0.688,290.71,283.264,-42.176,
00:01:01:851,0.276,0.69,0.816,490.112,172.546,-141.785,
00:01:01:867,0.38,0.617,0.765,625.549,59.997,-242.981,
00:01:01:884,0.43,0.593,0.739,745.239,-125.184,-263.062,
00:01:01:901,0.433,0.617,0.794,764.282,-296.265,-237.977,
00:01:01:917,0.372,0.687,0.82,679.687,-414.978,-182.496,
00:01:01:934,0.311,0.68,0.858,391.967,-502.93,-184.021,
00:01:01:951,0.268,0.729,0.773,63.659,-515.992,-155.396,
00:01:01:967,0.161,0.836,0.559,-181.824,-487.183,-68.909,
00:01:01:984,-0.047,0.87,0.41,-467.041,-449.158,13.488,
00:01:02:1,-0.264,0.913,0.356,-600.098,-246.888,127.258,
00:01:02:17,-0.331,0.981,0.384,-549.439,46.386,225.036,
00:01:02:34,-0.338,0.958,0.434,-517.029,349.67,206.543,
00:01:02:51,-0.314,0.77,0.389,-533.326,629.943,127.197,
00:01:02:67,-0.19,0.687,0.371,-394.654,708.618,90.148,
00:01:02:84,-0.006,0.721,0.366,-155.335,646.301,103.942,
00:01:02:101,0.186,0.768,0.553,61.218,457.275,44.677,
00:01:02:117,0.316,0.6,0.805,160.4,247.009,-97.779,
00:01:02:134,0.339,0.687,0.886,323.425,122.009,-167.054,
00:01:02:151,0.392,0.708,0.797,499.572,-38.147,-254.7,
00:01:02:167,0.451,0.627,0.783,596.557,-226.807,-232.3,
00:01:02:184,0.394,0.747,0.758,565.063,-378.052,-135.865,
00:01:02:201,0.34,0.741,0.774,458.679,-481.751,-130.982,
00:01:02:217,0.273,0.729,0.794,327.819,-582.093,-115.845,
00:01:02:234,0.152,0.792,0.67,122.741,-554.078,-73.67,
00:01:02:251,0.022,0.765,0.526,-116.944,-518.128,-49.866,
00:01:02:267,-0.187,0.783,0.41,-474.305,-326.294,13.183,
00:01:02:284,-0.304,0.929,0.418,-587.586,-79.346,109.069,
00:01:02:301,-0.339,0.982,0.443,-531.25,260.803,154.541,
00:01:02:317,-0.321,0.916,0.383,-473.694,553.588,150.085,
00:01:02:334,-0.256,0.829,0.36,-377.564,693.176,119.262,
00:01:02:351,-0.124,0.726,0.347,-234.498,696.106,106.445,
00:01:02:367,0.013,0.726,0.431,-66.773,608.886,140.197,
00:01:02:384,0.162,0.74,0.528,75.744,441.284,70.007,
00:01:02:401,0.298,0.677,0.741,208.618,248.901,-34.607,
00:01:02:417,0.337,0.696,0.795,419.922,88.134,-128.724,
00:01:02:434,0.43,0.555,0.792,578.491,-51.88,-249.695,
00:01:02:451,0.488,0.464,0.808,580.444,-215.821,-256.775,
00:01:02:467,0.465,0.686,0.826,548.156,-344.422,-195.191,
00:01:02:484,0.411,0.795,0.798,547.302,-441.468,-198.426,
00:01:02:501,0.347,0.724,0.79,450.744,-543.152,-239.747,
00:01:02:517,0.23,0.716,0.7,185.241,-568.177,-178.406,
00:01:02:534,0.046,0.805,0.551,-151.978,-512.94,-108.094,
00:01:02:551,-0.113,0.805,0.491,-394.593,-430.359,-30.945,
00:01:02:567,-0.336,1.054,0.482,-532.166,106.994,180.359,
00:01:02:584,-0.35,0.95,0.481,-493.897,395.568,217.895,
00:01:02:601,-0.347,0.787,0.468,-532.105,603.759,209.167,
