TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:01:516,0.899,0.209,0.217,-53.528,-12.879,-36.56,
00:00:01:533,0.893,0.214,0.218,-53.101,-13.123,-46.875,
00:00:01:550,0.895,0.217,0.217,-54.932,-11.292,-59.937,
00:00:01:566,0.892,0.217,0.21,-56.763,-12.33,-72.815,
00:00:01:583,0.9,0.22,0.208,-62.378,-12.696,-84.839,
00:00:01:600,0.904,0.222,0.204,-66.834,-11.658,-93.384,
00:00:01:616,0.909,0.234,0.206,-62.989,-9.583,-101.441,
00:00:01:633,0.914,0.234,0.206,-59.754,-8.667,-105.225,
00:00:01:650,0.916,0.235,0.201,-59.937,-6.653,-112.427,
00:00:01:666,0.916,0.239,0.201,-60.608,-5.127,-114.624,
00:00:01:683,0.919,0.242,0.203,-57.984,-5.31,-117.981,
00:00:01:700,0.916,0.245,0.202,-54.139,-3.174,-115.052,
00:00:01:716,0.913,0.249,0.201,-51.27,-2.564,-110.901,
00:00:01:733,0.914,0.252,0.201,-49.073,14.831,-106.202,
00:00:01:750,0.921,0.256,0.199,-45.716,-2.442,-104.248,
00:00:01:766,0.92,0.25,0.199,-44.129,-3.479,-99.183,
00:00:01:783,0.912,0.255,0.199,-43.824,-3.724,-94.239,
00:00:01:800,0.913,0.252,0.2,-42.725,-2.93,-89.844,
00:00:01:816,0.91,0.249,0.197,-43.213,-15.503,-83.252,
00:00:01:833,0.919,0.252,0.201,-42.969,2.99,-77.271,
00:00:01:850,0.924,0.254,0.198,-41.626,4.577,-69.703,
00:00:01:866,0.925,0.252,0.201,-40.406,5.065,-65.674,
00:00:01:883,0.927,0.253,0.201,-39.368,3.54,-58.106,
00:00:01:900,0.923,0.255,0.203,-35.401,4.455,-48.584,
00:00:01:916,0.918,0.256,0.202,-27.039,4.272,-37.049,
00:00:01:933,0.909,0.258,0.208,-10.926,8.789,-25.696,
00:00:01:950,0.909,0.254,0.213,6.53,11.718,-19.898,
00:00:01:966,0.914,0.245,0.219,13.916,14.282,-13.184,
00:00:01:983,0.914,0.24,0.216,16.967,14.099,-5.86,
00:00:02:0,0.914,0.24,0.219,12.573,12.268,-0.794,
00:00:02:16,0.918,0.243,0.217,8.728,11.901,7.08,
00:00:02:33,0.921,0.238,0.219,7.812,7.324,17.7,
00:00:02:50,0.913,0.231,0.216,2.502,5.554,28.442,
00:00:02:66,0.913,0.234,0.214,-2.076,7.08,36.56,
00:00:02:83,0.922,0.231,0.215,-3.174,9.582,41.992,
00:00:02:100,0.922,0.227,0.211,-4.151,7.324,46.386,
00:00:02:116,0.916,0.23,0.213,2.38,9.094,45.837,
00:00:02:133,0.915,0.229,0.22,12.634,14.953,44.982,
00:00:02:150,0.905,0.221,0.227,15.686,16.479,49.499,
00:00:02:166,0.899,0.218,0.221,7.324,18.554,52.124,
00:00:02:183,0.897,0.224,0.214,-1.16,17.211,48.461,
00:00:02:200,0.896,0.222,0.211,-4.578,16.906,43.64,
00:00:02:216,0.906,0.219,0.204,-6.47,15.564,38.696,
00:00:02:233,0.908,0.215,0.202,-6.165,14.77,36.132,
00:00:02:250,0.914,0.212,0.198,-9.644,11.657,30.395,
00:00:02:266,0.92,0.21,0.197,-10.254,9.765,28.991,
00:00:02:283,0.924,0.215,0.2,-16.358,8.728,24.414,
00:00:02:300,0.923,0.217,0.199,-22.583,9.399,18.737,
00:00:02:316,0.922,0.22,0.2,-22.461,13.244,11.657,
00:00:02:333,0.92,0.225,0.2,-16.541,13.855,7.629,
00:00:02:350,0.918,0.225,0.201,-6.714,19.653,-0.367,
00:00:02:366,0.913,0.227,0.199,6.103,23.498,-7.996,
00:00:02:383,0.91,0.226,0.204,17.395,21.179,-34.241,
00:00:02:400,0.916,0.225,0.209,20.507,25.573,-39.673,
00:00:02:416,0.919,0.228,0.207,19.104,24.536,-45.899,
00:00:02:433,0.91,0.231,0.208,18.737,24.597,-49.683,
00:00:02:450,0.911,0.233,0.206,25.085,25.085,-54.993,
00:00:02:466,0.919,0.234,0.206,26.123,26.245,-57.862,
00:00:02:483,0.913,0.234,0.205,30.334,22.766,-61.158,
00:00:02:500,0.9,0.235,0.204,27.832,20.813,-63.599,
00:00:02:516,0.891,0.233,0.201,21.606,18.981,-66.346,
00:00:02:533,0.884,0.235,0.195,12.695,19.958,-68.726,
00:00:02:550,0.89,0.237,0.192,12.817,21.728,-71.595,
00:00:02:566,0.896,0.237,0.19,4.089,20.813,-74.769,
00:00:02:583,0.909,0.234,0.19,-4.09,20.446,-76.05,
00:00:02:600,0.925,0.236,0.184,-22.339,20.629,-76.233,
00:00:02:616,0.941,0.243,0.181,-27.71,20.202,-73.487,
00:00:02:633,0.95,0.252,0.183,-22.522,20.874,-59.754,
00:00:02:650,0.947,0.252,0.193,-3.296,20.69,-46.631,
00:00:02:666,0.946,0.241,0.195,3.051,23.925,-29.725,
00:00:02:683,0.941,0.235,0.196,4.821,24.963,-15.503,
00:00:02:700,0.939,0.231,0.199,-1.404,25.451,-4.944,
00:00:02:716,0.929,0.233,0.198,-0.672,21.24,3.967,
00:00:02:733,0.914,0.222,0.197,-0.367,21.057,9.033,
00:00:02:750,0.931,0.221,0.193,5.432,26.367,7.751,
00:00:02:766,0.924,0.204,0.19,1.281,15.686,-6.592,
00:00:02:783,0.889,0.193,0.195,-7.264,10.559,-25.147,
00:00:02:800,0.889,0.193,0.197,-17.762,16.601,-55.176,
00:00:02:816,0.904,0.203,0.187,-15.564,16.479,-79.773,
00:00:02:833,0.902,0.197,0.189,-7.264,19.897,-85.022,
00:00:02:850,0.91,0.192,0.192,-8.24,28.625,-96.009,
00:00:02:866,0.925,0.196,0.179,-4.395,28.076,-103.577,
00:00:02:883,0.932,0.196,0.177,-3.846,23.742,-107.605,
00:00:02:900,0.937,0.199,0.182,-8.057,19.775,-105.164,
00:00:02:916,0.944,0.201,0.179,-8.057,18.249,-97.168,
00:00:02:933,0.948,0.213,0.184,-4.639,18.432,-87.464,
00:00:02:950,0.945,0.188,0.181,12.756,18.615,-73.975,
00:00:02:966,0.94,0.222,0.177,29.663,17.822,-56.458,
00:00:02:983,0.935,0.223,0.183,46.875,19.348,-43.641,
00:00:03:0,0.93,0.217,0.181,55.175,24.231,-31.006,
00:00:03:16,0.933,0.217,0.182,52.429,23.742,-22.828,
00:00:03:33,0.935,0.208,0.187,47.424,22.033,-15.198,
00:00:03:50,0.929,0.22,0.188,40.71,19.897,-5.921,
00:00:03:66,0.92,0.225,0.187,38.574,21.667,-1.038,
00:00:03:83,0.921,0.225,0.186,38.33,20.813,4.882,
00:00:03:100,0.924,0.225,0.191,35.095,20.324,7.08,
00:00:03:116,0.928,0.226,0.188,34.301,23.01,10.376,
00:00:03:133,0.935,0.221,0.185,28.625,17.334,9.216,
00:00:03:150,0.932,0.223,0.185,17.15,15.686,11.535,
00:00:03:166,0.927,0.229,0.184,14.404,15.686,8.728,
00:00:03:183,0.924,0.232,0.182,19.226,14.526,11.474,
00:00:03:200,0.919,0.23,0.19,30.09,16.906,11.413,
00:00:03:216,0.918,0.227,0.19,37.292,16.784,12.146,
00:00:03:233,0.922,0.216,0.189,40.527,19.47,13.305,
00:00:03:250,0.928,0.22,0.183,39.062,20.263,15.014,
00:00:03:266,0.932,0.221,0.176,37.109,14.953,15.319,
