TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,-0.1,-0.365,0.925,5.92,25.268,-23.682,
00:00:00:16,-0.073,-0.405,0.934,19.287,21.362,-23.133,
00:00:00:33,-0.072,-0.428,0.933,7.385,5.249,-24.781,
00:00:00:50,-0.077,-0.361,0.92,62.5,2.38,2.136,
00:00:00:66,-0.104,-0.423,0.942,-22.278,-4.883,-46.082,
00:00:00:83,-0.115,-0.383,0.929,-32.288,33.264,-6.592,
00:00:00:100,-0.096,-0.369,0.935,-15.625,49.377,-22.583,
00:00:00:116,-0.076,-0.397,0.936,-4.273,43.701,-31.25,
00:00:00:133,-0.068,-0.414,0.939,-9.583,28.076,-28.382,
00:00:00:150,-0.07,-0.408,0.933,-18.799,18.31,-19.654,
00:00:00:166,-0.079,-0.394,0.936,-24.72,14.709,-17.456,
00:00:00:183,-0.08,-0.396,0.935,-27.894,19.531,-24.414,
00:00:00:200,-0.083,-0.388,0.936,-26.429,22.155,-18.616,
00:00:00:216,-0.086,-0.373,0.934,-22.4,17.883,-15.137,
00:00:00:233,-0.088,-0.372,0.93,-9.095,14.16,-15.015,
00:00:00:250,-0.086,-0.374,0.934,2.868,18.981,-15.137,
00:00:00:266,-0.081,-0.379,0.93,14.953,22.155,-20.63,
00:00:00:283,-0.073,-0.37,0.935,32.775,21.057,-15.809,
00:00:00:300,-0.071,-0.378,0.935,46.081,8.483,-24.292,
00:00:00:316,-0.075,-0.416,0.943,30.639,3.967,-23.011,
00:00:00:333,-0.083,-0.418,0.939,21.789,11.108,-12.696,
00:00:00:350,-0.082,-0.384,0.943,15.075,21.911,-2.808,
00:00:00:366,-0.072,-0.404,0.936,9.887,24.902,-12.452,
00:00:00:383,-0.071,-0.411,0.931,-6.714,17.456,-24.109,
00:00:00:400,-0.082,-0.393,0.936,-19.654,11.779,-18.555,
00:00:00:416,-0.078,-0.379,0.943,-11.292,21.667,-19.898,
00:00:00:433,-0.066,-0.382,0.936,1.77,25.817,-22.889,
00:00:00:450,-0.062,-0.393,0.935,5.737,13.671,-24.353,
00:00:00:466,-0.067,-0.396,0.943,2.319,-3.846,-25.269,
00:00:00:483,-0.083,-0.392,0.935,1.77,-11.231,-20.997,
00:00:00:500,-0.093,-0.389,0.947,0.061,-1.648,-14.954,
00:00:00:516,-0.086,-0.391,0.943,7.263,10.742,-18.067,
00:00:00:533,-0.076,-0.388,0.934,10.192,16.052,-20.264,
00:00:00:550,-0.066,-0.391,0.931,7.446,8.483,-22.95,
00:00:00:566,-0.074,-0.389,0.963,3.479,-0.061,-23.621,
00:00:00:583,-0.078,-0.388,0.939,3.479,0.183,-25.513,
00:00:00:600,-0.078,-0.384,0.938,9.216,4.638,-19.532,
00:00:00:616,-0.079,-0.385,0.929,13.305,8.667,-22.278,
00:00:00:633,-0.076,-0.392,0.938,8.789,7.08,-20.874,
00:00:00:650,-0.08,-0.395,0.931,6.713,6.469,-23.194,
00:00:00:666,-0.084,-0.39,0.937,2.319,4.882,-21.912,
00:00:00:683,-0.079,-0.394,0.943,6.836,9.582,-19.654,
00:00:00:700,-0.078,-0.396,0.927,8.789,11.84,-22.461,
00:00:00:716,-0.077,-0.387,0.934,2.685,10.315,-21.79,
00:00:00:733,-0.074,-0.386,0.94,3.479,9.033,-21.851,
00:00:00:750,-0.075,-0.388,0.937,7.263,5.127,-24.72,
00:00:00:766,-0.08,-0.386,0.936,8.056,3.295,-24.964,
00:00:00:783,-0.077,-0.383,0.936,14.77,1.586,-21.851,
00:00:00:800,-0.082,-0.391,0.93,19.348,3.906,-26.612,
00:00:00:816,-0.081,-0.392,0.935,17.456,3.967,-23.56,
00:00:00:833,-0.077,-0.395,0.935,18.188,3.112,-23.438,
00:00:00:850,-0.082,-0.4,0.939,12.695,3.234,-24.659,
00:00:00:866,-0.081,-0.394,0.938,14.831,8.606,-20.447,
00:00:00:883,-0.081,-0.392,0.927,12.695,14.526,-23.682,
