TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:04:650,-0.118,-1.032,0.621,277.649,299.011,-76.783,
00:00:04:666,-0.041,-0.965,0.479,147.766,327.27,-87.891,
00:00:04:683,-0.003,-1.013,0.377,88.684,405.517,-172.791,
00:00:04:700,0.132,-1.014,0.508,215.942,500.549,-209.351,
00:00:04:716,0.265,-1.009,0.412,162.902,553.894,-293.641,
00:00:04:733,0.384,-1.194,0.556,85.449,508.667,-386.658,
00:00:04:750,0.425,-1.076,0.762,118.591,391.113,-263.428,
00:00:04:766,0.295,-0.885,0.772,107.971,290.283,-264.649,
00:00:04:783,0.171,-0.791,0.756,159.423,213.195,-331.971,
00:00:04:800,0.125,-0.661,0.773,276.001,162.292,-310.303,
00:00:04:816,0.057,-0.851,0.816,126.281,51.513,-378.296,
00:00:04:833,-0.046,-1.084,0.897,-209.839,-114.014,-356.873,
00:00:04:850,-0.232,-0.904,0.995,-683.35,-347.107,-150.879,
00:00:04:866,-0.578,-0.454,0.892,-908.509,-598.938,65.734,
00:00:04:883,-0.89,-0.158,0.872,-731.934,-790.223,-37.11,
00:00:04:900,-1.099,-0.133,0.757,-615.357,-756.958,86.425,
00:00:04:916,-1.172,-0.296,0.604,-616.578,-629.334,180.664,
00:00:04:933,-1.164,-0.345,0.523,-674.805,-466.736,205.993,
00:00:04:950,-1.085,-0.247,0.434,-721.436,-359.986,250,
00:00:04:966,-0.985,-0.209,0.366,-581.177,-197.388,328.369,
00:00:04:983,-0.871,-0.321,0.252,-311.585,-45.96,362.671,
00:00:05:0,-0.732,-0.445,0.136,16.784,127.014,356.079,
00:00:05:16,-0.558,-0.611,0.149,313.72,375.244,266.662,
00:00:05:33,-0.323,-0.916,0.253,601.379,557.495,122.802,
00:00:05:50,-0.052,-1.287,0.292,693.725,575.134,-12.635,
00:00:05:66,0.208,-1.441,0.238,582.519,545.532,-59.021,
00:00:05:83,0.381,-1.325,0.296,581.665,550.903,-74.219,
00:00:05:100,0.519,-1.302,0.434,613.159,544.922,-168.824,
00:00:05:116,0.547,-1.327,0.702,515.014,475.341,-295.899,
00:00:05:133,0.443,-1.14,0.733,215.698,489.929,-304.688,
00:00:05:150,0.343,-0.942,0.734,156.982,447.57,-350.647,
00:00:05:166,0.313,-0.821,0.784,330.871,368.774,-333.741,
00:00:05:183,0.272,-0.844,0.861,401.672,227.844,-293.091,
00:00:05:200,0.178,-0.86,0.998,326.049,73.974,-223.816,
00:00:05:216,0.029,-0.823,1.078,40.954,-95.276,-167.237,
00:00:05:233,-0.171,-0.785,1.101,-272.95,-273.743,-149.292,
00:00:05:250,-0.382,-0.691,1.073,-406.311,-445.008,-91.736,
00:00:05:266,-0.592,-0.578,1.014,-436.097,-618.653,-4.273,
00:00:05:283,-0.826,-0.468,0.904,-482.727,-790.833,81.604,
00:00:05:300,-1.047,-0.432,0.725,-502.198,-901.001,176.086,
00:00:05:316,-1.204,-0.384,0.541,-601.441,-871.216,235.229,
00:00:05:333,-1.259,-0.334,0.342,-738.892,-734.925,252.258,
00:00:05:350,-1.226,-0.302,0.21,-706.238,-505.188,255.31,
00:00:05:366,-1.156,-0.248,0.117,-480.713,-269.532,268.859,
00:00:05:383,-1.059,-0.325,0.062,-222.718,-61.707,279.663,
00:00:05:400,-0.953,-0.578,0.06,68.664,131.53,274.292,
00:00:05:416,-0.806,-0.821,0.059,267.028,356.323,238.83,
00:00:05:433,-0.586,-0.951,-0.061,201.904,590.881,165.771,
00:00:05:450,-0.336,-1.044,0.002,185.974,849.06,62.255,
00:00:05:466,0.019,-1.071,0.155,408.813,966.308,-46.875,
00:00:05:483,0.366,-1.158,0.369,587.28,854.065,-89.722,
00:00:05:500,0.657,-1.334,0.514,689.209,761.657,-133.973,
00:00:05:516,0.889,-1.421,0.586,751.464,703.491,-253.602,
00:00:05:533,0.993,-1.409,0.657,599.914,594.604,-364.136,
00:00:05:550,0.818,-1.342,0.853,400.146,410.583,-400.879,
00:00:05:566,0.62,-1.142,0.986,239.257,340.271,-346.253,
00:00:05:583,0.538,-1.027,1.014,168.701,320.617,-384.644,
00:00:05:600,0.51,-0.876,1.021,54.26,255.92,-334.29,
00:00:05:616,0.401,-0.777,0.997,-56.519,88.256,-283.326,
00:00:05:633,0.207,-0.781,1.115,-88.318,-130.86,-227.051,
00:00:05:650,-0.04,-0.717,1.182,-225.892,-332.154,-118.897,
00:00:05:666,-0.317,-0.603,1.146,-380.86,-528.809,-12.696,
00:00:05:683,-0.626,-0.49,1.004,-387.757,-790.711,-28.687,
