TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.075,0.769,0.6,66.162,-3.235,-25.025,
00:00:00:16,0.079,0.764,0.597,63.598,8.056,-29.602,
00:00:00:33,0.083,0.769,0.594,77.819,4.394,-35.096,
00:00:00:50,0.081,0.789,0.579,98.755,6.53,-36.377,
00:00:00:66,0.083,0.793,0.585,135.742,7.812,-37.354,
00:00:00:83,0.083,0.777,0.59,163.147,9.46,-41.199,
00:00:00:100,0.086,0.769,0.599,197.692,3.418,-45.411,
00:00:00:116,0.093,0.76,0.622,210.693,4.882,-39.063,
00:00:00:133,0.089,0.733,0.618,217.163,0.122,-35.95,
00:00:00:150,0.084,0.711,0.665,207.214,11.413,-35.584,
00:00:00:166,0.082,0.692,0.67,180.42,14.587,-39.429,
00:00:00:183,0.084,0.671,0.683,144.653,22.461,-42.725,
00:00:00:200,0.092,0.66,0.694,96.13,27.16,-40.345,
00:00:00:216,0.092,0.656,0.694,44.433,22.399,-39.002,
00:00:00:233,0.097,0.667,0.688,3.723,21.484,-35.462,
00:00:00:250,0.101,0.68,0.674,-25.086,16.662,-31.434,
00:00:00:266,0.097,0.695,0.675,-45.777,11.413,-29.358,
00:00:00:283,0.095,0.706,0.661,-55.542,9.704,-29.358,
00:00:00:300,0.093,0.715,0.663,-56.275,15.38,-29.969,
00:00:00:316,0.096,0.708,0.658,-58.838,16.662,-29.175,
00:00:00:333,0.095,0.718,0.653,-57.862,12.695,-31.373,
00:00:00:350,0.096,0.725,0.649,-50.721,15.93,-25.879,
00:00:00:366,0.098,0.716,0.646,-41.382,11.108,-25.879,
00:00:00:383,0.097,0.726,0.653,-33.875,11.596,-23.865,
00:00:00:400,0.098,0.716,0.646,-27.405,6.164,-24.353,
00:00:00:416,0.099,0.722,0.655,-29.236,6.408,-23.011,
00:00:00:433,0.101,0.72,0.639,-25.33,-0.061,-21.424,
00:00:00:450,0.092,0.721,0.65,-19.349,-9.522,-15.748,
00:00:00:466,0.087,0.728,0.647,-16.175,-6.165,-16.846,
00:00:00:483,0.088,0.724,0.644,-14.344,-2.442,-19.898,
00:00:00:500,0.086,0.728,0.646,-11.78,4.089,-18.677,
00:00:00:516,0.085,0.716,0.647,-12.513,8.606,-23.499,
00:00:00:533,0.086,0.73,0.651,-17.334,19.226,-27.405,
00:00:00:550,0.088,0.725,0.64,-15.748,28.259,-30.518,
00:00:00:566,0.09,0.722,0.643,-19.288,31.494,-32.898,
00:00:00:583,0.092,0.728,0.639,-23.682,35.034,-32.776,
00:00:00:600,0.097,0.717,0.644,-25.147,31.372,-32.471,
00:00:00:616,0.101,0.727,0.638,-33.875,28.198,-27.405,
00:00:00:633,0.105,0.723,0.636,-34.424,18.798,-28.504,
00:00:00:650,0.107,0.733,0.636,-35.279,16.967,-25.147,
00:00:00:666,0.11,0.731,0.628,-30.823,6.225,-22.644,
