TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.021,-0.868,0.535,0.732,-45.166,-2.991,
00:00:00:16,0.018,-0.867,0.537,-1.526,-48.829,-5.372,
00:00:00:33,0.017,-0.865,0.536,7.019,-45.838,-7.63,
00:00:00:50,0.014,-0.874,0.539,6.225,-46.326,-9.4,
00:00:00:66,0.013,-0.875,0.536,3.906,-54.505,-10.865,
00:00:00:83,0.005,-0.871,0.537,8.544,-52.185,-9.827,
00:00:00:100,0.008,-0.868,0.536,13.427,-47.486,-9.949,
00:00:00:116,0.009,-0.867,0.537,8.117,-40.833,-12.085,
00:00:00:133,0.008,-0.867,0.537,6.652,-35.584,-12.94,
00:00:00:150,0.009,-0.865,0.542,9.887,-38.514,-17.456,
00:00:00:166,0.002,-0.864,0.545,17.089,-41.077,-17.456,
00:00:00:183,-0.004,-0.874,0.544,18.859,-36.988,-18.86,
00:00:00:200,-0.003,-0.875,0.534,19.714,-31.128,-18.067,
00:00:00:216,-0.004,-0.87,0.533,23.559,-26.673,-20.142,
00:00:00:233,-0.002,-0.874,0.528,23.742,-20.997,-21.729,
00:00:00:250,-0.002,-0.873,0.53,19.409,-17.823,-20.142,
00:00:00:266,0,-0.877,0.53,20.69,-16.602,-23.377,
00:00:00:283,-0.004,-0.876,0.532,17.517,-11.841,-24.72,
00:00:00:300,-0.002,-0.878,0.533,16.662,-9.827,-24.048,
00:00:00:316,-0.006,-0.88,0.526,18.981,-8.362,-28.87,
00:00:00:333,-0.007,-0.864,0.534,18.676,-4.578,-25.696,
00:00:00:350,0.002,-0.88,0.53,21.423,-4.883,-28.382,
00:00:00:366,-0.009,-0.874,0.526,19.348,-5.005,-30.823,
00:00:00:383,-0.009,-0.88,0.529,19.958,0.366,-28.748,
00:00:00:400,-0.004,-0.879,0.525,16.418,1.525,-29.419,
00:00:00:416,-0.001,-0.876,0.528,13.122,-0.916,-30.335,
00:00:00:433,-0.006,-0.878,0.535,9.887,4.028,-28.992,
00:00:00:450,0.026,-0.871,0.536,14.77,10.376,-31.678,
00:00:00:466,-0.003,-0.874,0.526,16.357,9.46,-32.898,
00:00:00:483,-0.007,-0.874,0.527,15.441,10.192,-33.57,
00:00:00:500,-0.003,-0.871,0.53,13.671,15.014,-30.457,
00:00:00:516,-0.001,-0.879,0.527,16.357,10.986,-30.091,
00:00:00:533,-0.008,-0.882,0.529,12.634,9.826,-30.091,
00:00:00:550,-0.005,-0.876,0.536,9.521,14.953,-25.33,
00:00:00:566,0,-0.877,0.5,17.883,14.343,-27.771,
00:00:00:583,-0.001,-0.876,0.525,17.883,11.535,-24.964,
00:00:00:600,-0.003,-0.878,0.522,15.258,15.38,-24.353,
00:00:00:616,-0.001,-0.878,0.525,12.207,16.235,-26.551,
00:00:00:633,0,-0.884,0.525,11.413,13.794,-27.894,
00:00:00:650,-0.002,-0.883,0.523,9.277,12.573,-27.71,
00:00:00:666,-0.005,-0.879,0.526,7.385,12.939,-29.053,
00:00:00:683,-0.002,-0.87,0.53,7.263,16.113,-26.429,
00:00:00:700,0.001,-0.881,0.525,14.526,15.686,-26.734,
00:00:00:716,0.001,-0.884,0.528,8.178,14.587,-24.964,
00:00:00:733,0,-0.875,0.533,2.685,14.099,-23.438,
00:00:00:750,0.001,-0.879,0.53,8.239,11.047,-23.316,
00:00:00:766,-0.001,-0.876,0.529,5.554,6.713,-24.659,
00:00:00:783,-0.002,-0.876,0.525,5.127,8.911,-21.424,
00:00:00:800,-0.003,-0.871,0.522,5.676,10.559,-20.691,
00:00:00:816,0.001,-0.88,0.53,8.361,7.812,-22.339,
00:00:00:833,-0.002,-0.882,0.526,7.202,11.596,-19.898,
00:00:00:850,-0.002,-0.879,0.527,9.704,10.376,-20.081,
00:00:00:866,0.002,-0.884,0.527,6.958,8.667,-17.273,
00:00:00:883,-0.002,-0.881,0.526,1.159,4.699,-19.654,
00:00:00:900,0.001,-0.874,0.527,1.831,10.62,-19.532,
00:00:00:916,0.004,-0.873,0.527,5.859,3.662,-19.593,
00:00:00:933,-0.003,-0.878,0.527,5.859,1.22,-21.485,
00:00:00:950,-0.005,-0.878,0.529,3.784,8.056,-19.349,
00:00:00:966,-0.001,-0.881,0.526,2.868,9.277,-19.532,
00:00:00:983,-0.006,-0.881,0.523,2.136,7.141,-19.715,
00:00:01:0,-0.006,-0.876,0.53,-0.061,10.131,-18.25,
00:00:01:16,-0.004,-0.878,0.529,1.586,11.169,-20.264,
00:00:01:33,-0.005,-0.878,0.528,2.929,7.69,-21.058,
00:00:01:50,-0.003,-0.873,0.531,3.173,11.474,-19.532,
00:00:01:66,0.001,-0.877,0.527,6.836,9.521,-20.142,
00:00:01:83,-0.002,-0.877,0.525,7.324,8.117,-21.18,
00:00:01:100,-0.002,-0.881,0.522,2.868,10.437,-20.142,
00:00:01:116,0,-0.874,0.525,3.723,6.225,-19.532,
00:00:01:133,-0.002,-0.88,0.527,3.601,8.422,-20.447,
00:00:01:150,-0.002,-0.879,0.527,0.732,11.84,-19.471,
00:00:01:166,0,-0.878,0.531,-0.611,12.39,-19.898,
00:00:01:183,-0.001,-0.872,0.533,0.061,10.131,-21.119,
00:00:01:200,-0.002,-0.869,0.531,2.868,11.779,-20.325,
00:00:01:216,0.001,-0.87,0.536,6.958,9.033,-21.363,
00:00:01:233,-0.003,-0.875,0.533,10.742,5.432,-20.447,
00:00:01:250,-0.001,-0.88,0.532,11.047,6.164,-20.325,
00:00:01:266,-0.004,-0.881,0.526,6.53,8.483,-19.471,
00:00:01:283,0.001,-0.878,0.526,1.586,9.704,-18.555,
00:00:01:300,-0.001,-0.845,0.53,-1.404,10.986,-19.959,
00:00:01:316,0.002,-0.875,0.532,5.859,7.69,-21.851,
00:00:01:333,0.001,-0.876,0.532,11.23,7.385,-21.424,
00:00:01:350,0,-0.876,0.528,12.329,7.141,-21.485,
00:00:01:366,0.002,-0.877,0.53,5.432,7.324,-22.034,
00:00:01:383,-0.003,-0.874,0.53,5.004,7.202,-21.973,
00:00:01:400,-0.005,-0.875,0.525,5.432,6.713,-23.56,
00:00:01:416,-0.003,-0.875,0.525,3.112,9.216,-21.729,
00:00:01:433,0,-0.871,0.529,6.408,10.315,-19.715,
00:00:01:450,-0.003,-0.875,0.525,10.742,7.202,-21.79,
00:00:01:466,-0.002,-0.88,0.526,10.986,7.08,-20.386,
00:00:01:483,0.003,-0.88,0.524,11.596,5.554,-23.438,
00:00:01:500,0,-0.876,0.526,10.192,6.591,-23.377,
00:00:01:516,0.002,-0.877,0.532,8.85,5.737,-23.621,
00:00:01:533,0.001,-0.883,0.527,9.826,4.882,-24.292,
