TIMECODE,ACC_X,ACC_Y,ACC_Z,GYR_X,GYR_Y,GYR_Z,TAG
00:00:00:0,0.041,-0.486,0.887,-3.296,4.76,-20.386,
00:00:00:16,0.047,-0.484,0.887,-3.174,3.295,-17.701,
00:00:00:33,0.046,-0.492,0.893,-8.606,0.976,-20.325,
00:00:00:50,0.046,-0.507,0.887,-71.778,6.774,-11.536,
00:00:00:66,0.042,-0.455,0.894,-42.603,-2.076,-16.968,
00:00:00:83,0.029,-0.467,0.887,-19.898,6.836,-24.414,
00:00:00:100,0.035,-0.465,0.884,-11.597,3.906,-24.903,
00:00:00:116,0.041,-0.498,0.89,-12.818,5.004,-24.598,
00:00:00:133,0.03,-0.501,0.892,-33.936,9.765,-17.273,
00:00:00:150,0.033,-0.497,0.886,-50.049,9.643,-14.283,
00:00:00:166,0.022,-0.509,0.889,-63.721,6.774,-21.729,
00:00:00:183,0.018,-0.501,0.893,-80.384,7.324,-19.41,
00:00:00:200,0.022,-0.494,0.896,-97.535,10.681,-16.602,
00:00:00:216,0.061,-0.474,0.898,-106.446,13.794,-11.109,
00:00:00:233,0.038,-0.464,0.906,-111.268,0.122,-11.353,
00:00:00:250,0.045,-0.443,0.902,-110.657,11.23,-10.437,
00:00:00:266,0.055,-0.444,0.905,-96.497,27.832,5.188,
00:00:00:283,0.06,-0.451,0.909,-101.197,9.155,4.882,
00:00:00:300,0.067,-0.455,0.909,-128.785,2.99,13.305,
00:00:00:316,0.081,-0.467,0.926,-154.664,13.305,36.621,
00:00:00:333,0.109,-0.448,0.94,-170.472,12.878,46.752,
00:00:00:350,0.125,-0.414,0.969,-188.05,9.277,50.842,
00:00:00:366,0.124,-0.394,0.962,-214.356,2.197,48.461,
00:00:00:383,0.127,-0.384,0.968,-214.783,14.282,25.146,
00:00:00:400,0.132,-0.407,0.945,-278.321,44.25,13.61,
00:00:00:416,0.1,-0.367,0.895,-353.333,86.364,-23.987,
00:00:00:433,0.08,-0.325,0.858,-351.746,170.776,-127.625,
00:00:00:450,0.042,-0.321,0.88,-470.704,258.239,-198.975,
00:00:00:466,0.042,-0.284,0.997,-672.791,379.699,-286.133,
00:00:00:483,0.141,-0.238,1.012,-904.297,491.211,-358.765,
00:00:00:500,0.201,-0.191,0.987,-1068.97,533.142,-406.983,
00:00:00:516,0.181,-0.142,0.998,-1172.181,539.123,-383.545,
00:00:00:533,0.147,-0.086,1.027,-1218.201,562.378,-324.28,
00:00:00:550,0.161,-0.009,1.046,-1159.18,561.279,-285.523,
00:00:00:566,0.172,0.085,1.025,-977.662,528.747,-234.803,
00:00:00:583,0.131,0.079,1.047,-747.071,490.844,-187.989,
00:00:00:600,0.084,-0.029,1.105,-511.902,459.716,-122.62,
00:00:00:616,0.108,-0.117,1.098,-315.064,433.044,-33.57,
00:00:00:633,0.142,-0.134,1.062,-104.859,389.831,5.676,
00:00:00:650,0.104,-0.248,0.959,54.504,255.371,18.188,
00:00:00:666,0.106,-0.224,0.893,-47.852,208.862,21.24,
00:00:00:683,0.179,-0.007,0.799,-57.801,90.942,83.252,
00:00:00:700,0.21,0.077,0.797,86.792,43.518,130.859,
00:00:00:716,0.233,0.073,0.792,308.838,-5.005,172.363,
00:00:00:733,0.243,0.002,0.788,482.605,-55.42,234.253,
00:00:00:750,0.272,-0.053,0.783,551.88,-101.624,275.512,
00:00:00:766,0.319,-0.084,0.803,576.355,-158.631,286.743,
00:00:00:783,0.362,-0.151,0.862,709.228,-283.814,272.583,
00:00:00:800,0.376,-0.183,0.885,703.918,-297.791,272.338,
00:00:00:816,0.372,-0.196,0.962,644.836,-328.431,259.277,
00:00:00:833,0.403,-0.197,1.219,447.815,-372.071,291.687,
00:00:00:850,0.427,-0.373,1.355,-408.631,-385.315,451.599,
00:00:00:866,0.181,0,1.113,-203.37,-443.116,157.348,
00:00:00:883,0.068,-0.036,0.936,-61.219,-238.282,236.145,
